race_id,sanrentan_result,payout_sanrentan_100
2720260301020001,6-4-3,20080
2720260301020002,1-4-2,350
2720260301020003,5-3-7,710
4420260228030001,2-5-3,4210
4420260228030002,2-8-7,332490
4420260228030003,5-3-7,8260
4420260228030004,5-2-9,12900
4420260228030005,5-1-2,11210
4420260228030006,4-9-5,23400
4420260228030007,2-1-8,39400
4420260228030008,9-7-1,1870
4420260228030009,8-2-9,99960
4420260228030010,1-9-7,1620
4420260228030011,1-9-3,1190
4420260228030012,1-9-5,8750
5520260228030001,3-6-2,3030
5520260228030002,2-4-7,3010
5520260228030003,2-4-5,600
5520260228030004,2-6-4,610
5520260228030005,2-7-5,3560
5520260228030006,4-1-3,2300
5520260228030007,1-7-3,2180
5520260228030008,4-3-2,2390
5520260228030009,4-2-3,19140
5520260228030010,2-6-1,760
5520260228030011,1-7-5,3860
5520260228030012,4-2-6,3280
6220260228030001,1-3-7,1480
6220260228030002,5-7-1,5750
6220260228030003,7-2-6,480
6220260228030004,2-1-5,32390
6220260228030005,6-3-7,64130
6220260228030006,5-2-4,1760
6220260228030007,1-5-4,8420
8320260301020001,3-4-6,2580
8320260301020002,1-4-7,300
8320260301020003,3-1-6,28860
