race_id,sanrentan_result,payout_sanrentan_100
1120260530020001,3-4-5,5040
1120260530020002,2-3-1,7020
2420260530020001,3-4-1,11380
2420260530020002,9-1-5,6700
2420260530020003,5-4-6,468380
2420260530020004,7-2-3,21060
2420260530020005,3-7-9,8110
2420260530020006,9-2-3,20800
2420260530020007,5-2-3,3270
2420260530020008,7-2-3,33400
2420260530020009,3-9-1,18400
2420260530020010,5-2-9,720
2420260530020011,1-7-5,3320
2420260530020012,9-8-6,90700
3120260531010001,7-3-2,10410
3120260531010002,1-4-2,5530
3120260531010003,4-1-2,4940
3620260531010001,5-1-7,570
3620260531010002,3-7-5,78190
3620260531010003,1-4-3,2010
3620260531010004,7-4-1,4080
3620260531010005,6-2-1,9720
3620260531010006,5-3-4,610
3620260531010007,6-5-4,19720
8720260529030001,5-4-2,2560
8720260529030002,7-3-2,740
8720260529030003,3-4-5,580
8720260529030004,4-5-1,510
8720260529030005,1-2-4,2720
8720260529030006,4-2-3,15770
8720260529030007,1-4-3,1600
8720260529030008,1-3-4,5410
8720260529030009,1-2-7,1360
8720260529030010,5-7-1,19090
8720260529030011,3-1-4,9440
