race_id,sanrentan_result,payout_sanrentan_100
2120260612020001,1-4-6,15330
2120260612020002,2-5-1,4410
2320260613010001,2-5-1,11580
2320260613010002,5-4-1,3000
2320260613010003,1-7-2,32910
2320260613010004,7-1-4,5150
2320260613010005,2-7-5,14800
2320260613010006,5-1-4,210
2320260613010007,5-3-4,18640
3720260613010001,1-3-5,7320
3720260613010002,3-6-2,34430
3720260613010003,2-4-5,1670
3720260613010004,3-4-1,730
3720260613010005,7-1-4,6580
3720260613010006,1-7-2,4300
3720260613010007,5-7-4,5740
3720260613010008,1-3-4,5360
3720260613010009,2-5-6,6930
3720260613010010,3-1-5,730
3720260613010011,7-1-3,830
3720260613010012,5-6-3,28930
4320260611030001,1-3-5,26790
4320260611030002,3-4-1,2440
4320260611030003,1-3-2,4760
4320260611030004,4-7-3,306680
4320260611030005,7-2-1,2580
4320260611030006,7-3-5,2090
4320260611030007,2-8-9,74460
4320260611030008,3-2-7,8760
4320260611030009,5-3-2,35950
4320260611030010,7-6-2,7030
4320260611030011,2-9-4,2930
4320260611030012,2-4-7,45010
5320260613010001,1-3-6,5810
5320260613010002,1-5-4,8520
5320260613010003,7-2-4,240
5320260613010004,1-5-3,160
5320260613010005,5-4-6,1120
5320260613010006,1-6-3,1350
5320260613010007,4-7-1,780
5320260613010008,1-7-3,4090
5320260613010009,4-5-1,320
5320260613010010,4-1-5,210
5320260613010011,5-1-7,21720
6120260611030001,5-1-4,58890
6120260611030002,5-1-7,1430
6120260611030005,8-1-6,11500
6120260611030006,9-3-8,5530
6120260611030007,1-9-2,153720
6120260611030008,5-3-4,1070
6120260611030009,9-4-1,9500
6120260611030010,3-7-2,113250
6120260611030011,9-1-6,1500
6120260611030012,4-1-2,48010
8420260612020001,2-1-3,1120
8420260612020002,1-3-6,4130
8420260612020003,1-2-4,470
