race_id,競輪場,レース番号,開始時間,bets,settled_bets,stake,payout,profit,hit_exact,hit_set,hit_exact_rate,hit_set_rate
4320260627030003,岐阜競輪,3R,09:11,1,1,100,0.0,-100.0,0,0,0.0,0.0
4320260627030006,岐阜競輪,6R,10:14,1,1,100,0.0,-100.0,0,0,0.0,0.0
7420260629010001,高知競輪,1R,10:45,1,1,100,0.0,-100.0,0,0,0.0,0.0
2320260627030003,取手競輪,3R,11:54,1,1,100,0.0,-100.0,0,0,0.0,0.0
7420260629010005,高知競輪,5R,12:36,1,1,100,0.0,-100.0,0,0,0.0,0.0
7420260629010009,高知競輪,9R,14:31,1,1,100,0.0,-100.0,0,0,0.0,0.0
7420260629010010,高知競輪,10R,15:01,1,1,100,0.0,-100.0,0,0,0.0,0.0
7420260629010011,高知競輪,11R,15:32,1,1,100,0.0,-100.0,0,0,0.0,0.0
2320260627030011,取手競輪,11R,15:46,1,1,100,0.0,-100.0,0,0,0.0,0.0
8420260629010001,武雄競輪,1R,15:53,1,1,100,0.0,-100.0,0,0,0.0,0.0
8420260629010004,武雄競輪,4R,17:06,1,1,100,0.0,-100.0,0,0,0.0,0.0
8420260629010007,武雄競輪,7R,18:21,1,1,200,0.0,-200.0,0,0,0.0,0.0
8420260629010008,武雄競輪,8R,18:46,1,1,100,0.0,-100.0,0,0,0.0,0.0
8420260629010010,武雄競輪,10R,19:38,1,1,100,0.0,-100.0,0,0,0.0,0.0
3720260628020001,伊東競輪,1R,20:41,1,1,200,0.0,-200.0,0,0,0.0,0.0
8520260628020001,佐世保競輪,1R,20:49,1,1,100,0.0,-100.0,0,0,0.0,0.0
6120260628020001,玉野競輪,1R,20:57,1,1,200,0.0,-200.0,0,0,0.0,0.0
3720260628020002,伊東競輪,2R,21:05,1,1,200,0.0,-200.0,0,0,0.0,0.0
3720260628020003,伊東競輪,3R,21:29,1,0,100,0.0,-100.0,0,0,,
6120260628020003,玉野競輪,3R,21:45,1,0,100,0.0,-100.0,0,0,,
