race_id,sanrentan_result,payout_sanrentan_100
1120260605030001,3-5-1,180
1120260605030002,1-5-4,220
2520260605030001,5-2-7,1660
2520260605030002,3-5-2,4720
2520260605030003,1-3-7,2710
2520260605030004,1-7-3,68680
2520260605030005,5-2-3,29710
2520260605030006,1-4-6,430
2520260605030007,5-4-3,70180
3720260607010001,3-7-5,760
3720260607010002,7-4-1,3000
3720260607010003,4-2-5,1090
4720260607010001,7-2-1,1400
4720260607010002,5-1-3,610
4720260607010003,5-1-7,14690
4720260607010004,7-3-5,400
4720260607010005,1-4-5,4210
4720260607010006,3-5-1,13430
4720260607010007,1-5-6,4910
4720260607010008,3-5-1,830
4720260607010009,1-4-3,4290
4720260607010010,2-5-7,580
4720260607010011,5-2-1,9180
4720260607010012,5-3-7,8890
8320260604040001,2-9-5,7730
8320260604040002,3-5-1,8240
8320260604040003,2-1-9,10830
8320260604040004,9-2-4,59790
8320260604040005,7-2-1,23180
8320260604040006,3-7-6,89380
8320260604040007,9-2-4,11160
8320260604040008,1-5-9,470
8320260604040009,2-8-7,21180
8320260604040010,2-7-3,2840
8320260604040011,1-5-9,2910
8320260604040012,9-3-4,4450
