race_id,nirenpuku_result,payout_nirenpuku_100
6120260104030001,1-3,2260
6120260104030002,2-5,240
6120260104030003,2-4,860
6120260104030004,5-6,750
6120260104030005,1-4,2020
6120260104030006,2-3,710
6120260104030007,1-2,860
6120260104030008,4-7,320
6120260104030009,4-6,1450
6120260104030010,3-4,1230
6120260104030011,2-4,2880
8320260106010001,1-6,280
8320260106010002,5-7,3460
8320260106010003,1-6,2420
8320260106010004,4-6,130
8320260106010005,4-7,5560
8320260106010006,1-6,230
8320260106010007,4-5,420
8320260106010008,4-5,1060
8320260106010009,1-5,300
8320260106010010,2-6,15710
8320260106010011,4-7,270
8320260106010012,1-2,480
8620260104030001,2-4,730
8620260104030002,1-4,930
8620260104030003,2-4,150
8620260104030004,1-4,820
8620260104030005,1-2,750
8620260104030006,1-5,260
8620260104030007,5-6,280
2720260109030001,4-5,260
2720260109030002,2-5,1220
2720260109030003,5-7,670
5520260109030001,5-8,3640
5520260109030002,4-7,190
5520260109030003,4-5,1350
5520260109030004,5-9,360
5520260109030005,6-8,3770
5520260109030006,2-6,2380
5520260109030007,5-6,2840
5520260109030008,4-7,3540
5520260109030009,2-9,5500
5520260109030010,3-5,330
5520260109030011,1-9,1270
5520260109030012,1-9,820
6120260109030001,3-5,190
6120260109030002,2-6,180
6120260109030003,5-7,1000
8620260109030001,5-6,400
8620260109030002,5-7,140
8620260109030003,1-4,110
8620260109030004,2-3,380
8620260109030005,1-5,150
8620260109030006,3-7,1860
8620260109030007,3-5,3250
2320260112010001,1-7,300
2320260112010002,2-4,200
2320260112010003,3-6,110
2320260112010004,1-5,110
2320260112010005,5-7,1860
2320260112010006,2-3,440
2320260112010007,1-7,120
2320260112010008,2-5,420
2320260112010009,1-4,200
2320260112010010,1-5,150
2320260112010011,3-5,130
2320260112010012,6-7,2400
2820260112010001,1-7,770
2820260112010002,5-7,110
2820260112010003,1-5,120
2820260112010004,1-4,130
2820260112010005,2-5,2260
2820260112010006,1-5,110
2820260112010007,3-7,890
4320260112010001,1-4,650
4320260112010002,3-7,180
4320260112010003,3-5,160
5520260109040001,3-4,120
5520260109040002,1-3,960
5520260109040003,2-4,620
5520260109040004,1-5,790
5520260109040005,3-7,700
5520260109040006,1-8,350
5520260109040007,6-8,3310
5520260109040008,1-9,640
5520260109040009,1-5,410
5520260109040010,1-3,2970
5520260109040011,5-6,3950
5520260109040012,1-2,400
2320260112020001,1-2,1090
2320260112020002,1-4,300
2320260112020003,1-5,210
2320260112020004,2-6,770
2320260112020005,3-5,1650
2320260112020006,1-6,140
2320260112020007,4-7,150
2320260112020008,4-5,1990
2320260112020009,3-6,400
2320260112020010,1-4,410
2320260112020011,1-5,320
2320260112020012,1-7,140
2820260112020001,3-4,790
2820260112020002,1-6,130
2820260112020003,4-6,190
2820260112020004,1-2,2550
2820260112020005,3-7,280
2820260112020006,3-6,5900
2820260112020007,2-7,150
4320260112020001,1-6,1290
4320260112020002,6-7,2030
4320260112020003,1-2,700
5620260113010001,1-3,1110
5620260113010002,2-5,150
5620260113010003,3-7,110
5620260113010004,3-5,440
5620260113010005,1-5,180
5620260113010006,3-6,190
5620260113010007,2-7,670
5620260113010008,2-3,1040
5620260113010009,1-7,140
5620260113010010,3-4,100
5620260113010011,1-6,1980
8120260113010001,1-7,480
8120260113010002,1-5,190
2320260112030001,2-6,1100
2320260112030002,3-6,2710
2320260112030003,1-5,580
2320260112030004,2-7,230
2320260112030005,3-5,1990
2320260112030006,2-3,360
2320260112030007,2-6,220
