race_id,競輪場,レース番号,開始時間,best_bet,first,second,third,best_odds,best_p,max_EV
4520260304030005,豊橋競輪,5R,10:13,7-6-2,7,6,2,1141.0,0.013531987634439767,14.439997890895773
3120260304030001,松戸競輪,1R,20:57,5-4-6,5,4,6,1728.0,0.00880769104848072,14.219690131774685
2620260304030002,西武園競輪,2R,11:28,6-5-4,6,5,4,6826.2,0.0021841910635276816,13.90972503785266
4520260304030004,豊橋競輪,4R,09:52,1-6-2,1,6,2,4838.1,0.0030746713805334595,13.875567606158931
8120260306010001,小倉競輪,1R,15:54,1-6-7,1,6,7,1308.9,0.01116936820316484,13.61958604112246
7520260305020006,松山競輪,6R,13:22,2-6-5,2,6,5,4124.6,0.0031610333440705504,12.037998130953394
7520260305020004,松山競輪,4R,12:30,2-4-5,2,4,5,3152.4,0.004107595082181854,11.948782737070076
8720260304030001,熊本競輪,1R,20:41,6-4-3,6,4,3,2137.5,0.005419220312994834,10.583583419026457
2620260304030006,西武園競輪,6R,13:09,2-6-5,2,6,5,2608.5,0.004437392432659715,10.574938160592868
2620260304030007,西武園競輪,7R,13:35,2-6-1,2,6,1,993.9,0.010803634292333117,9.737732123149884
4520260304030006,豊橋競輪,6R,10:34,5-4-6,5,4,6,1487.7,0.0068270474353156205,9.156598469519048
8120260306010009,小倉競輪,9R,18:59,3-7-2,3,7,2,1492.2,0.0065603600296291475,8.789369236212615
3720260304030004,伊東競輪,4R,17:10,6-5-4,6,5,4,2969.3,0.0032784058237148015,8.73457041235636
8120260306010008,小倉競輪,8R,18:34,4-6-5,4,6,5,4041.3,0.002404363316368911,8.716753470441681
3720260304030006,伊東競輪,6R,17:58,1-6-7,1,6,7,1281.4,0.007420296833040851,8.508368361858548
3720260304030001,伊東競輪,1R,16:06,4-6-1,4,6,1,1957.7,0.004851276706504019,8.497344408322919
3720260304030010,伊東競輪,10R,19:38,6-5-7,6,5,7,1927.2,0.0043371661933531,7.358586687830094
3720260304030009,伊東競輪,9R,19:12,5-4-6,5,4,6,1754.8,0.004584271039929367,7.044478820868052
4520260304030003,豊橋競輪,3R,09:31,4-3-6,4,3,6,1493.8,0.005143349579033027,6.683135601159535
3720260304030002,伊東競輪,2R,16:26,3-2-4,3,2,4,1113.8,0.006766637090985015,6.53668039193911
3720260304030012,伊東競輪,12R,20:30,3-7-2,3,7,2,1732.4,0.003935269083530864,5.817460160308868
3120260304030002,松戸競輪,2R,21:21,5-6-4,5,6,4,701.2,0.009592620852454749,5.72634574174127
2620260304030011,西武園競輪,11R,15:28,1-2-7,1,2,7,1692.5,0.003921077494717145,5.636423659808768
4520260304030007,豊橋競輪,7R,10:55,3-7-6,3,7,6,1596.6,0.0036179644828311258,4.776442093288175
3720260304030008,伊東競輪,8R,18:46,7-4-1,7,4,1,580.8,0.008542008032450695,3.961198265247363
8120260306010005,小倉競輪,5R,17:22,1-6-4,1,6,4,780.5,0.006174873394620705,3.8194886845014606
4520260304030002,豊橋競輪,2R,09:10,5-6-2,5,6,2,343.0,0.012501557900214,3.288034359773402
