race_id,sanrentan_result,payout_sanrentan_100
2820260322020001,3-4-2,15700
2820260322020002,3-2-6,4840
2820260322020003,2-5-7,4540
2820260322020004,6-7-1,39630
2820260322020005,7-4-2,15530
2820260322020006,6-7-1,88710
2820260322020007,5-6-1,7690
3820260323010001,1-2-3,13100
3820260323010002,3-4-7,4880
3820260323010003,2-7-1,660
4320260322020001,2-6-3,1130
4320260322020002,1-4-6,1920
4320260322020003,5-3-1,5170
6220260323010001,2-5-1,5430
6220260323010002,4-2-7,117190
6220260323010003,4-7-3,6100
6220260323010004,5-1-4,320
6220260323010005,3-2-1,13370
6220260323010006,3-5-6,5240
6220260323010007,5-7-4,5880
6220260323010008,5-3-2,1300
6220260323010009,2-4-5,3550
6220260323010010,1-5-3,4250
6220260323010011,1-5-3,1820
6220260323010012,7-2-5,790
