race_id,sanrentan_result,payout_sanrentan_100
1320260309030001,5-3-2,2530
1320260309030002,2-4-5,570
1320260309030003,6-3-7,9750
3820260310020001,7-3-2,3970
3820260310020002,5-4-2,5890
7320260310020001,5-7-3,2740
7320260310020002,4-2-3,5360
7320260310020003,3-2-5,3350
7320260310020004,4-2-1,2020
7320260310020005,1-6-4,18550
7320260310020006,1-3-4,7980
7320260310020007,2-4-3,18650
8420260309030001,5-1-3,630
8420260309030002,5-3-1,2290
8420260309030003,2-1-4,8320
8420260309030004,3-5-1,4110
8420260309030005,7-1-3,7850
8420260309030006,5-1-6,10630
8420260309030007,3-7-4,3090
