race_id,競輪場,レース番号,開始時間,best_bet,a,b,best_odds,best_p,max_EV
7320260310020007,小松島競輪,7R,13:44,4-7,4,7,569.0,0.04691880964793542,25.696802689675252
4520260310020002,豊橋競輪,2R,21:00,3-5,3,5,362.2,0.04553992292445133,15.494560083236273
3820260310020003,静岡競輪,3R,16:52,4-6,4,6,305.1,0.050899452656447644,14.529423005482178
7420260310020004,高知競輪,4R,21:50,2-6,2,6,175.5,0.08068954051943862,13.161014361161477
3820260310020002,静岡競輪,2R,16:24,6-7,6,7,277.3,0.046721573921447136,11.955892448417291
1320260309030002,いわき平競輪,2R,16:16,1-6,1,6,292.7,0.033848319364583136,8.907403078013484
3820260310020006,静岡競輪,6R,18:04,3-4,3,4,173.2,0.053973839643700006,8.34826902628884
3820260310020011,静岡競輪,11R,20:16,1-6,1,6,207.7,0.03837597854152244,6.970690743074211
7420260310020003,高知競輪,3R,21:30,1-7,1,7,131.2,0.05981199162280147,6.8473333009115525
4520260310020001,豊橋競輪,1R,20:40,3-6,3,6,170.2,0.044313237478654136,6.542113018866933
8420260309030004,武雄競輪,4R,09:52,6-7,6,7,117.2,0.06416984302634623,6.520705602687779
4520260310020009,豊橋競輪,9R,23:20,1-4,1,4,80.2,0.08961332102393808,6.1869883461198345
8420260309030003,武雄競輪,3R,09:31,6-7,6,7,242.0,0.029470227501262367,6.131795055305493
1320260309030010,いわき平競輪,10R,19:34,2-7,2,7,160.3,0.0436460668768317,5.996464520356122
3820260310020009,静岡競輪,9R,19:20,2-6,2,6,243.0,0.028317478789493557,5.8811473458469345
1320260309030008,いわき平競輪,8R,18:41,4-6,4,6,196.5,0.030529195076865412,4.998986832604054
1320260309030001,いわき平競輪,1R,15:46,5-6,5,6,143.4,0.03943601133691997,4.655124025714324
8420260309030005,武雄競輪,5R,10:13,6-7,6,7,77.7,0.07091862505581288,4.510377166836661
8420260309030002,武雄競輪,2R,09:10,4-7,4,7,123.0,0.04158871044614147,4.115411384875401
1320260309030012,いわき平競輪,12R,20:30,4-6,4,6,151.4,0.032509309392432975,3.9219094420143525
1320260309030003,いわき平競輪,3R,16:40,1-2,1,2,137.2,0.03452769227124008,3.737199379614138
8420260309030001,武雄競輪,1R,08:50,4-6,4,6,124.5,0.03743934478917965,3.6611984262528665
7320260310020004,小松島競輪,4R,12:21,1-6,1,6,142.3,0.03240623379714079,3.6114070693331346
3820260310020004,静岡競輪,4R,17:16,2-3,2,3,104.9,0.04216530642796435,3.4231406442934604
1320260309030007,いわき平競輪,7R,18:16,4-5,4,5,57.8,0.07316640702846955,3.22901832624554
7420260310020001,高知競輪,1R,20:50,1-6,1,6,52.1,0.0810812966986419,3.224335557999243
1320260309030009,いわき平競輪,9R,19:07,6-7,6,7,81.6,0.04770377726695808,2.8926282249837794
1320260309030004,いわき平競輪,4R,17:04,3-6,3,6,146.3,0.024512345372425217,2.5861561279858094
7320260310020003,小松島競輪,3R,11:55,5-6,5,6,140.2,0.024411917144820793,2.422550783703875
7320260310020005,小松島競輪,5R,12:48,5-6,5,6,113.1,0.028752425721058038,2.251899349051664
8420260309030007,武雄競輪,7R,10:55,3-6,3,6,69.0,0.04635297382296995,2.1983551937849266
7420260310020005,高知競輪,5R,22:10,1-6,1,6,37.5,0.07900406877704763,1.9626525791392861
7320260310020002,小松島競輪,2R,11:29,5-6,5,6,184.5,0.0158157653361616,1.9180087045218155
8420260309030006,武雄競輪,6R,10:34,4-6,4,6,67.3,0.042278369150694224,1.8453342438417213
3820260310020010,静岡競輪,10R,19:48,1-6,1,6,102.3,0.026160994589846668,1.676269746541314
7420260310020009,高知競輪,9R,23:30,5-6,5,6,76.5,0.03334866522917062,1.5511728900315522
3820260310020005,静岡競輪,5R,17:40,2-6,2,6,69.6,0.03660987261821079,1.5480471342274709
7320260310020001,小松島競輪,1R,11:05,3-6,3,6,53.5,0.045203606526921625,1.4183929491903071
3820260310020001,静岡競輪,1R,16:00,4-6,4,6,60.1,0.03953767173128152,1.3762140710500192
1320260309030006,いわき平競輪,6R,17:52,5-6,5,6,40.5,0.05724380505430063,1.3183741046991755
7420260310020008,高知競輪,8R,23:10,1-2,1,2,22.5,0.10049235497817673,1.2610779870089766
1320260309030011,いわき平競輪,11R,20:02,2-6,2,6,73.4,0.030351392705028873,1.2277922245491193
7320260310020006,小松島競輪,6R,13:16,1-7,1,7,49.1,0.03596282865430758,0.7657748869265024
4520260310020004,豊橋競輪,4R,21:40,1-2,1,2,19.5,0.08994052525638081,0.7538402424994259
7420260310020006,高知競輪,6R,22:30,1-7,1,7,24.7,0.06961134905968139,0.7194003217741303
3820260310020008,静岡競輪,8R,18:54,3-6,3,6,33.2,0.05161921741934316,0.713758018322193
3820260310020007,静岡競輪,7R,18:28,2-4,2,4,26.3,0.06141231429687187,0.6151438660077302
4520260310020007,豊橋競輪,7R,22:40,1-5,1,5,23.2,0.06877001302670402,0.5954643022195332
1320260309030005,いわき平競輪,5R,17:28,2-3,2,3,20.6,0.07267359430317562,0.49707604264541794
4520260310020008,豊橋競輪,8R,23:00,2-4,2,4,21.0,0.06643130016207732,0.39505730340362377
4520260310020006,豊橋競輪,6R,22:20,1-5,1,5,15.0,0.09038892134868204,0.35583382023023047
7420260310020007,高知競輪,7R,22:50,2-3,2,3,20.2,0.06301119002542749,0.2728260385136352
7420260310020002,高知競輪,2R,21:10,4-6,4,6,15.0,0.08166121968127477,0.22491829521912154
4520260310020003,豊橋競輪,3R,21:20,2-6,2,6,9.0,0.11693214310489476,0.05238928794405284
4520260310020005,豊橋競輪,5R,22:00,1-2,1,2,9.7,0.08270959423528412,-0.19771693591774409
