race_id,競輪場,レース番号,開始時間,best_bet,a,b,best_odds,best_p,max_EV
8720260329010008,熊本競輪,8R,23:00,1-7,1,7,247.5,0.11743720850392345,28.06570910472105
6220260329010005,広島競輪,5R,10:10,1-6,1,6,1016.2,0.027045423302518665,26.483559160019468
2820260328020006,立川競輪,6R,13:09,6-7,6,7,1332.5,0.019967850699389396,25.60716105693637
8320260327030010,久留米競輪,10R,19:38,5-6,5,6,589.8,0.043466955161543,24.63681015427806
2820260328020007,立川競輪,7R,13:35,1-6,1,6,628.6,0.03443562586360063,20.646234417859358
6220260329010007,広島競輪,7R,10:50,1-6,1,6,548.0,0.03754259588428621,19.573342544588844
8720260329010003,熊本競輪,3R,21:20,2-4,2,4,319.5,0.0637536259375949,19.36928348706157
3720260329010007,伊東競輪,7R,18:10,1-6,1,6,626.2,0.032426056223343686,19.305196407057817
6220260329010004,広島競輪,4R,09:50,4-6,4,6,584.9,0.03131855259712647,17.318221414059273
6220260329010006,広島競輪,6R,10:30,5-6,5,6,353.3,0.051559818487386416,17.21608387159362
8720260329010001,熊本競輪,1R,20:40,5-6,5,6,494.2,0.03665728550257303,17.11603049537159
3720260329010010,伊東競輪,10R,19:25,2-6,2,6,404.2,0.036026794721069025,13.562030426256099
3720260329010004,伊東競輪,4R,16:58,5-6,5,6,413.9,0.029928665735123032,11.387474747767422
3520260329010008,平塚競輪,8R,23:10,1-7,1,7,204.0,0.05940341388855738,11.118296433265707
3520260329010001,平塚競輪,1R,20:50,3-7,3,7,299.2,0.03833317586076983,10.469286217542331
3120260327030007,松戸競輪,7R,11:00,2-7,2,7,354.4,0.032285091284188855,10.44183635111653
2820260328020004,立川競輪,4R,12:17,5-6,5,6,214.4,0.0512295540512382,9.98361638858547
2820260328020002,立川競輪,2R,11:28,3-5,3,5,102.0,0.10426376530344342,9.634904060951229
3720260329010002,伊東競輪,2R,16:14,3-6,3,6,500.4,0.020938920727537398,9.477835932059714
4520260328020010,豊橋競輪,10R,15:12,3-6,3,6,462.8,0.019021758301436743,7.803269741904925
2820260328020001,立川競輪,1R,11:05,5-6,5,6,204.0,0.04207732893882664,7.583775103520635
2820260328020011,立川競輪,11R,15:28,3-5,3,5,149.3,0.056408354761035104,7.421767365822541
3720260329010006,伊東競輪,6R,17:46,1-2,1,2,133.2,0.06278773886615618,7.363326816972004
2820260328020010,立川競輪,10R,14:58,5-6,5,6,598.5,0.01392041107320701,7.331366027314395
3120260327030005,松戸競輪,5R,10:20,4-7,4,7,209.9,0.03914836442279214,7.21724169234407
8320260327030001,久留米競輪,1R,16:06,1-2,1,2,104.6,0.07502933798234898,6.848068752953703
2820260328020003,立川競輪,3R,11:52,5-6,5,6,252.8,0.02997906464976146,6.578707543459697
4520260328020006,豊橋競輪,6R,13:22,3-6,3,6,379.3,0.019321760166346767,6.328743631095329
2820260328020005,立川競輪,5R,12:43,3-4,3,4,176.0,0.04162264358562019,6.325585271069154
4520260328020012,豊橋競輪,12R,16:20,4-6,4,6,479.8,0.014825497696861253,6.113273794954029
3120260327030003,松戸競輪,3R,09:40,3-6,3,6,147.7,0.047621990822353424,6.0337680444616
6220260329010003,広島競輪,3R,09:30,1-2,1,2,104.1,0.06630363504530792,5.902208408216555
