race_id,sanrentan_result,payout_sanrentan_100
2820260328020001,7-5-2,3830
2820260328020002,7-1-3,8060
2820260328020003,4-7-2,1950
2820260328020004,1-5-3,3740
2820260328020005,7-4-1,2730
2820260328020006,4-1-5,2690
2820260328020007,3-5-1,330
2820260328020008,3-5-1,1070
2820260328020009,2-3-1,14700
2820260328020010,1-2-6,24380
2820260328020011,5-2-1,2710
2820260328020012,2-5-7,5420
3120260327030001,5-1-2,4320
3120260327030002,3-1-4,2340
3120260327030003,4-1-3,2240
3120260327030004,1-7-3,7170
3120260327030005,3-7-6,2990
3120260327030006,2-1-5,14860
3120260327030007,4-7-3,2410
3720260329010001,7-3-6,1390
3720260329010002,1-7-2,1850
3720260329010003,7-2-1,2070
4520260328020001,7-4-5,11780
4520260328020002,1-8-2,5940
4520260328020003,5-2-7,1190
4520260328020004,5-7-2,720
4520260328020005,9-4-3,103140
4520260328020006,2-5-7,1030
4520260328020007,9-5-8,318030
4520260328020008,7-9-6,11810
4520260328020009,9-3-7,32300
4520260328020010,2-9-1,15000
4520260328020011,9-5-2,1970
4520260328020012,1-5-4,298400
6220260329010001,5-2-3,3810
6220260329010002,2-3-5,1140
6220260329010003,5-1-3,280
6220260329010004,5-3-7,7430
6220260329010005,5-7-1,720
6220260329010006,2-1-5,3110
6220260329010007,3-5-4,740
8320260327030001,1-4-5,48370
8320260327030002,2-1-5,6130
8320260327030003,7-4-3,9830
