race_id,sanrentan_result,payout_sanrentan_100
1120260514040001,1-3-6,35780
1120260514040002,5-1-3,670
1120260514040003,5-4-3,54070
1120260514040004,9-7-2,3430
2420260515030001,2-1-7,1290
2420260515030002,1-5-7,1100
2420260515030003,2-6-1,2330
2420260515030004,7-5-2,8200
2420260515030005,6-7-4,3870
2420260515030006,3-5-6,2710
2420260515030007,2-3-1,13920
2420260515030008,1-6-4,43980
2420260515030009,5-7-1,2840
2420260515030010,7-2-3,8780
2420260515030011,1-3-2,1930
3620260515030001,7-6-4,63130
3620260515030002,6-1-4,7370
3620260515030003,5-2-3,9170
3620260515030004,1-4-5,2410
3620260515030005,5-1-3,4830
3620260515030006,4-1-6,600
3620260515030007,6-1-3,13280
3620260515030008,2-4-6,8590
3620260515030009,1-7-3,1410
3620260515030010,1-4-7,4910
3620260515030011,3-4-6,1170
3620260515030012,4-3-2,17010
5520260517010001,5-3-2,350
5520260517010003,4-3-6,12440
5520260517010004,5-7-2,190
5520260517010005,1-4-2,1640
5520260517010006,7-2-1,116730
5520260517010007,7-5-2,4640
5520260517010008,7-4-3,8240
5520260517010009,4-5-7,11830
5520260517010010,5-4-7,8470
5520260517010011,5-7-1,16990
5520260517010012,1-4-5,12360
6320260517010001,5-4-2,6270
6320260517010002,2-7-1,53610
6320260517010003,5-3-7,6320
6320260517010004,4-5-2,1080
6320260517010005,4-1-3,4490
6320260517010006,5-2-6,490
6320260517010007,7-5-2,840
8320260517010001,7-6-3,2410
8320260517010002,1-5-7,440
8320260517010003,7-4-1,160
8320260517010004,5-3-7,98110
