race_id,sanrentan_result,payout_sanrentan_100
2120260717020001,5-3-2,3630
2120260717020002,5-7-3,23270
2120260717020003,1-4-5,1040
2120260717020004,3-5-7,10890
2120260717020005,4-2-6,2280
2120260717020006,1-6-5,760
2120260717020007,4-1-7,2350
2120260717020008,3-7-4,125930
2120260717020009,4-6-2,10860
2120260717020010,1-2-3,4280
2120260717020011,1-5-7,210
2620260716030001,4-3-7,420
2620260716030002,1-3-2,6990
2620260716030003,1-6-5,52220
2620260716030004,6-1-3,5830
3820260718010001,3-5-2,3810
3820260718010002,4-2-5,1160
3820260718010003,1-4-7,460
3820260718010004,4-1-7,710
3820260718010005,5-7-4,27980
3820260718010006,1-7-4,2010
3820260718010007,6-3-7,630
3820260718010008,7-2-5,970
3820260718010009,6-2-3,32170
3820260718010010,7-1-5,3340
3820260718010011,4-1-7,290
3820260718010012,7-2-5,26940
4320260718010001,4-2-1,430
4320260718010002,6-7-5,6490
4320260718010003,3-6-2,2860
4320260718010004,2-1-6,17760
4320260718010005,4-5-3,13700
4320260718010006,4-7-1,1430
4320260718010007,4-7-1,2520
4720260716030001,7-2-5,2560
4720260716030002,1-4-5,3880
4720260716030003,7-1-3,5580
4720260716030004,2-3-1,5510
4720260716030005,1-2-5,4280
4720260716030006,1-6-2,9890
4720260716030007,5-4-3,14850
4720260716030008,4-7-5,5170
4720260716030009,6-3-5,5340
4720260716030010,1-6-5,60300
4720260716030011,2-1-6,9030
4720260716030012,3-6-4,19330
7420260717020001,8-4-7,39270
7420260717020002,3-2-8,39910
7420260717020003,5-1-6,1220
7420260717020004,9-3-2,50000
