race_id,競輪場,レース番号,開始時間,best_bet,first,second,third,best_odds,best_p,max_EV,kelly_full,kelly_frac_capped,stake_raw,stake,expected_profit
2720260223010002,京王閣競輪,2R,21:13,2-7-4,2,7,4,5544.8,0.0073568509494645,39.79226714459097,0.00717779630300353,0.003588898151501765,179.44490757508825,200,7958.453428918195
3520260223010005,平塚競輪,5R,22:36,5-4-2,5,4,2,3141.5,0.0118079417122968,36.09464888918068,0.011493280970922046,0.005,250.0,200,7218.929777836136
7420260222020004,高知競輪,4R,17:18,4-6-7,4,6,7,4208.7,0.0080555976293817,32.90359374277896,0.007819852589961014,0.003909926294980507,195.49631474902537,200,6580.7187485557915
6120260223010003,玉野競輪,3R,21:29,1-7-6,1,7,6,4690.9,0.0069453637513402,31.580006821162208,0.006733620508147766,0.003366810254073883,168.34051270369415,200,6316.001364232441
4520260223010009,豊橋競輪,9R,19:09,2-6-7,2,6,7,4257.6,0.0072110621437548,29.70181818325059,0.006977826947152795,0.0034889134735763975,174.44567367881987,200,5940.363636650118
6320260221030011,防府競輪,11R,15:35,1-6-2,1,6,2,2865.0,0.0088283637977739,24.293262280622432,0.008482284315859788,0.004241142157929894,212.0571078964947,200,4858.652456124487
4520260223010004,豊橋競輪,4R,17:06,7-6-3,7,6,3,6790.6,0.0058123404739587,38.46927922246415,0.005665912457650546,0.002832956228825273,141.64781144126366,100,3846.927922246415
7420260222020005,高知競輪,5R,17:42,3-7-6,3,7,6,8034.1,0.0042503384545099,33.14764417737808,0.004126382614106395,0.0020631913070531973,103.15956535265987,100,3314.7644177378083
4520260223010011,豊橋競輪,11R,20:02,3-6-5,3,6,5,9942.5,0.0033744448800106,32.55041821950635,0.003274195867777131,0.0016370979338885656,81.85489669442828,100,3255.0418219506346
2720260223010001,京王閣競輪,1R,20:49,6-7-4,6,7,4,5958.4,0.0055786850932049,32.24003725935241,0.0054117630609582055,0.0027058815304791027,135.29407652395514,100,3224.003725935241
7420260222020003,高知競輪,3R,16:54,2-6-1,2,6,1,2237.6,0.0076118262916305,16.03222251015242,0.0071681223777843245,0.0035840611888921623,179.2030594446081,200,3206.444502030484
3120260222020001,松戸競輪,1R,08:50,5-3-7,5,3,7,1272.7,0.0118432782402145,14.072940216321058,0.011066242208320403,0.005,250.0,200,2814.5880432642116
6120260223010001,玉野競輪,1R,20:41,1-6-7,1,6,7,1960.5,0.0073852186518079,13.47872116686954,0.006878653313023496,0.003439326656511748,171.96633282558741,200,2695.744233373908
8720260220040008,熊本競輪,8R,14:05,2-4-5,2,4,5,1362.1,0.0106124811186859,13.455260531762152,0.009885578232137354,0.004942789116068677,247.13945580343383,200,2691.05210635243
3120260222020007,松戸競輪,7R,10:55,3-6-4,3,6,4,8180.0,0.0033621664613049,26.502521653474798,0.0032403131988598603,0.0016201565994299302,81.0078299714965,100,2650.2521653474796
3520260223010006,平塚競輪,6R,23:03,4-7-2,4,7,2,1995.7,0.007103689778422,13.17683369079688,0.006605922540129783,0.0033029612700648915,165.14806350324457,200,2635.366738159376
6320260221030003,防府競輪,3R,11:47,5-6-3,5,6,3,1299.0,0.0101315309972704,12.16085876545435,0.009368920466451732,0.004684460233225866,234.2230116612933,200,2432.17175309087
6320260221030010,防府競輪,10R,15:00,2-6-7,2,6,7,1168.9,0.0111964429987672,12.08752222125904,0.010349792123691274,0.005,250.0,200,2417.504444251808
4520260223010010,豊橋競輪,10R,19:35,5-6-4,5,6,4,1496.2,0.0082944598041297,11.410170758938913,0.007631200347069898,0.003815600173534949,190.78000867674746,200,2282.0341517877823
6120260223010005,玉野競輪,5R,22:18,5-4-6,5,4,6,9397.5,0.0024717443427365,22.228217460866485,0.0023655847880451747,0.0011827923940225873,59.13961970112937,100,2222.8217460866485
