race_id,競輪場,レース番号,開始時間,best_bet,first,second,third,best_odds,best_p,max_EV
3520260223010004,平塚競輪,4R,22:09,6-5-7,6,5,7,3888.0,0.002814567524525927,9.943038535356804
7420260222020010,高知競輪,10R,19:48,6-4-5,6,4,5,4433.0,0.002465296366609399,9.928658793179466
4520260223010003,豊橋競輪,3R,16:42,6-1-4,6,1,4,3018.4,0.003351188336872675,9.115226876016482
6320260221030001,防府競輪,1R,11:00,7-5-6,7,5,6,975.4,0.010328457009197751,9.074376966771487
3120260222020004,松戸競輪,4R,09:52,3-5-7,3,5,7,6860.8,0.0014676282361238628,9.069103802398597
8720260220040003,熊本競輪,3R,11:35,2-5-1,2,5,1,1299.3,0.007711919512256987,9.020097022275502
6320260221030002,防府競輪,2R,11:23,4-5-7,4,5,7,2382.5,0.0041024957298259135,8.77419607631024
4520260223010005,豊橋競輪,5R,17:30,1-7-6,1,7,6,2876.7,0.0033161406259859605,8.539541738773812
6320260221030008,防府競輪,8R,14:10,5-1-6,5,1,6,1230.5,0.007419670867893282,8.129905002942683
7420260222020011,高知競輪,11R,20:16,7-6-1,7,6,1,971.5,0.009157859282118793,7.896860292578408
4520260223010012,豊橋競輪,12R,20:30,7-5-6,7,5,6,1788.7,0.004902003025189804,7.768212811157001
3520260223010001,平塚競輪,1R,20:57,3-7-6,3,7,6,2405.9,0.003627726909478372,7.727948171514015
3520260223010007,平塚競輪,7R,23:30,5-4-3,5,4,3,1381.3,0.006187399698624813,7.546655203710454
7420260222020008,高知競輪,8R,18:56,6-5-4,6,5,4,3342.7,0.0025432979802657994,7.501482158634488
3120260222020005,松戸競輪,5R,10:13,6-7-4,6,7,4,2611.1,0.0032438313688883513,7.469968087304373
3520260223010003,平塚競輪,3R,21:45,7-6-2,7,6,2,6532.4,0.001279767600935968,7.359953876354117
8720260220040004,熊本競輪,4R,12:05,3-5-4,3,5,4,1336.4,0.006049819819991288,7.0849792074363585
3120260222020002,松戸競輪,2R,09:10,4-5-2,4,5,2,879.7,0.009058540799412398,6.968798341243087
7420260222020001,高知競輪,1R,15:57,5-6-2,5,6,2,1789.1,0.004263179651721385,6.62725471489473
8720260220040006,熊本競輪,6R,13:05,5-4-3,5,4,3,1737.2,0.0039012286230785246,5.777214364012013
7420260222020002,高知競輪,2R,16:22,6-2-5,6,2,5,418.6,0.013905318474139358,4.820766313274736
8720260220040009,熊本競輪,9R,14:40,7-4-9,7,4,9,1136.1,0.005116883094548369,4.813290883716402
8720260220040007,熊本競輪,7R,13:35,9-4-3,9,4,3,1834.4,0.0030263439198737383,4.551525286616386
6320260221030005,防府競輪,5R,12:42,1-6-4,1,6,4,277.5,0.016985353801947826,3.7134356800405213
6320260221030004,防府競輪,4R,12:12,2-7-6,2,7,6,1006.8,0.00258708577209927,1.604677955349545
6320260221030006,防府競輪,6R,13:12,3-4-6,3,4,6,116.3,0.017631824819098457,1.0505812264611505
