race_id,sanrentan_result,payout_sanrentan_100
3120260222020001,1-5-7,810
3120260222020002,2-7-4,19360
3120260222020003,4-3-7,12730
3120260222020004,7-4-1,23880
3120260222020005,3-4-2,8940
3120260222020006,1-7-4,550
3120260222020007,1-5-4,300
6320260221030001,1-4-7,6920
6320260221030002,2-3-7,6550
6320260221030003,4-7-3,1180
8720260220040001,7-2-8,6210
8720260220040002,3-7-4,17640
8720260220040003,7-9-3,35260
