race_id,競輪場,レース番号,開始時間,自信度,判定,推奨3車ボックス,推奨選手,購入点数,購入金額
6320260731010006,防府競輪,6R,10:20,0.4779,購入,"=""4-3-6""",4-3-6,6,600
1220260730020007,青森競輪,7R,10:30,0.5732,購入,"=""7-4-2""",7-4-2,6,600
6320260731010007,防府競輪,7R,10:40,0.5284,購入,"=""1-4-6""",1-4-6,6,600
4320260730020005,岐阜競輪,5R,12:46,0.4498,購入,"=""5-2-1""",5-2-1,6,600
7420260731010001,高知競輪,1R,20:41,0.5413,購入,"=""1-2-3""",1-2-3,6,600
8420260731010001,武雄競輪,1R,20:57,0.6612,購入,"=""1-2-3""",1-2-3,6,600
7420260731010002,高知競輪,2R,21:05,0.5254,購入,"=""1-2-3""",1-2-3,6,600
8420260731010002,武雄競輪,2R,21:21,0.5998,購入,"=""1-2-3""",1-2-3,6,600
8420260731010007,武雄競輪,7R,23:30,0.4315,購入,"=""1-2-7""",1-2-7,6,600
