race_id,sanrentan_result,payout_sanrentan_100
2320260312020001,9-2-6,18900
2320260312020002,2-7-5,8960
2320260312020003,5-1-7,660
2320260312020004,7-2-6,1290
2320260312020005,9-3-1,26780
2320260312020006,1-9-2,5060
2320260312020007,1-9-5,3830
2320260312020008,1-3-7,11370
2320260312020009,2-5-9,1970
2320260312020010,1-5-7,510
2320260312020011,1-9-6,7960
2320260312020012,1-9-5,900
2620260312020001,2-6-7,1430
2620260312020002,5-4-3,460
2620260312020003,5-2-7,1110
5520260312020002,5-1-4,630
5520260312020003,5-1-7,7190
5520260312020004,4-2-7,71150
5520260312020005,2-5-7,3390
5520260312020006,3-7-2,380
5520260312020007,3-4-1,1220
6220260313010001,6-1-3,147490
6220260313010002,7-1-5,300
6220260313010003,5-3-1,260
