race_id,settled,sanrentan_result,stake_total,payout_total,profit_total,hit_any,bankroll_after,drawdown
1120260620020012,False,,0,0,0,False,81700,0.0
1120260708010001,True,7-2-4,500,0,-500,False,81200,0.188
1120260708010002,True,4-2-7,300,0,-300,False,80900,0.191
1120260708010003,True,4-3-5,300,0,-300,False,80600,0.194
1120260708010004,True,1-2-5,300,0,-300,False,80300,0.197
1120260708010005,True,5-7-1,400,0,-400,False,79900,0.201
1120260708010006,True,7-1-5,300,0,-300,False,79600,0.204
1120260708010007,True,6-2-5,300,0,-300,False,79300,0.207
1120260708010008,True,5-4-2,600,0,-600,False,78700,0.213
1120260708010009,True,1-4-2,300,0,-300,False,78400,0.216
1120260708010010,True,7-4-1,600,0,-600,False,77800,0.222
1120260708010011,True,5-1-7,500,0,-500,False,77300,0.227
1120260708010012,True,5-2-4,300,0,-300,False,77000,0.23
1220260412010001,True,2-3-7,600,0,-600,False,76400,0.236
1220260412010002,True,4-1-7,600,0,-600,False,75800,0.242
1220260412010003,True,1-4-3,400,0,-400,False,75400,0.246
1220260412010004,False,,0,0,0,False,75400,0.0
1220260412010005,False,,0,0,0,False,75400,0.0
1220260412010006,False,,0,0,0,False,75400,0.0
1220260412010007,False,,0,0,0,False,75400,0.0
1220260412010008,False,,0,0,0,False,75400,0.0
1220260412010009,False,,0,0,0,False,75400,0.0
1220260412010010,False,,0,0,0,False,75400,0.0
1220260412010011,False,,0,0,0,False,75400,0.0
1220260412010012,False,,0,0,0,False,75400,0.0
1220260504020001,True,1-6-4,300,0,-300,False,75100,0.249
1220260504020002,True,3-7-4,400,0,-400,False,74700,0.253
1220260504020003,True,3-4-7,200,0,-200,False,74500,0.255
1220260504020004,True,3-4-5,300,0,-300,False,74200,0.258
1220260504020005,True,1-4-6,300,0,-300,False,73900,0.261
1220260504020006,True,7-2-4,200,0,-200,False,73700,0.263
1220260504020007,True,5-2-1,300,0,-300,False,73400,0.266
1220260504030001,True,1-7-3,100,0,-100,False,73300,0.267
1220260504030002,True,5-3-4,100,0,-100,False,73200,0.268
1220260504030003,True,2-5-3,500,0,-500,False,72700,0.273
1220260504030004,True,1-4-3,600,0,-600,False,72100,0.279
1220260504030005,True,3-4-2,0,0,0,False,72100,0.279
1220260504030006,True,5-3-1,100,0,-100,False,72000,0.28
1220260504030007,True,5-7-1,600,0,-600,False,71400,0.286
1220260602030001,True,1-5-2,500,0,-500,False,70900,0.291
1220260602030002,True,2-7-1,200,0,-200,False,70700,0.293
1220260602030003,True,5-1-4,600,0,-600,False,70100,0.299
1220260602030004,False,,0,0,0,False,70100,0.0
1220260602030005,False,,0,0,0,False,70100,0.0
1220260602030006,False,,0,0,0,False,70100,0.0
1220260602030007,False,,0,0,0,False,70100,0.0
1220260602030008,False,,0,0,0,False,70100,0.0
1220260602030009,False,,0,0,0,False,70100,0.0
1220260602030010,False,,0,0,0,False,70100,0.0
1220260602030011,False,,0,0,0,False,70100,0.0
1220260602030012,False,,0,0,0,False,70100,0.0
1220260617010001,True,5-2-1,300,0,-300,False,69800,0.302
1220260617010002,True,1-6-4,300,0,-300,False,69500,0.305
1220260617010003,True,1-7-5,300,0,-300,False,69200,0.308
1220260617010004,True,1-2-4,300,0,-300,False,68900,0.311
1220260617010005,True,3-7-5,300,0,-300,False,68600,0.314
1220260617010006,True,1-4-7,300,0,-300,False,68300,0.317
1220260617010007,True,2-5-6,300,0,-300,False,68000,0.32
1320260309010001,True,5-1-4,200,0,-200,False,67800,0.322
1320260309010002,True,4-1-2,500,0,-500,False,67300,0.327
1320260309010003,True,7-3-4,200,0,-200,False,67100,0.329
1320260309010004,False,,0,0,0,False,67100,0.0
1320260309010005,False,,0,0,0,False,67100,0.0
1320260309010006,False,,0,0,0,False,67100,0.0
1320260309010007,False,,0,0,0,False,67100,0.0
1320260309010008,False,,0,0,0,False,67100,0.0
1320260309010009,False,,0,0,0,False,67100,0.0
1320260309010010,False,,0,0,0,False,67100,0.0
1320260309010011,False,,0,0,0,False,67100,0.0
1320260309010012,False,,0,0,0,False,67100,0.0
1320260309020001,True,7-3-4,600,0,-600,False,66500,0.335
1320260309020002,True,1-4-7,400,0,-400,False,66100,0.339
1320260309020003,True,1-4-5,300,0,-300,False,65800,0.342
1320260309020004,False,,0,0,0,False,65800,0.0
1320260309020005,False,,0,0,0,False,65800,0.0
1320260309020006,False,,0,0,0,False,65800,0.0
1320260309020007,False,,0,0,0,False,65800,0.0
1320260309020008,False,,0,0,0,False,65800,0.0
1320260309020009,False,,0,0,0,False,65800,0.0
1320260309020010,False,,0,0,0,False,65800,0.0
1320260309020011,False,,0,0,0,False,65800,0.0
1320260309020012,False,,0,0,0,False,65800,0.0
1320260309030001,True,5-3-2,300,0,-300,False,65500,0.345
1320260309030002,True,2-4-5,100,0,-100,False,65400,0.346
1320260309030003,True,6-3-7,300,0,-300,False,65100,0.349
1320260309030004,False,,0,0,0,False,65100,0.0
1320260309030005,False,,0,0,0,False,65100,0.0
1320260309030006,False,,0,0,0,False,65100,0.0
1320260309030007,False,,0,0,0,False,65100,0.0
1320260309030008,False,,0,0,0,False,65100,0.0
1320260309030009,False,,0,0,0,False,65100,0.0
1320260309030010,False,,0,0,0,False,65100,0.0
1320260309030011,False,,0,0,0,False,65100,0.0
1320260309030012,False,,0,0,0,False,65100,0.0
1320260319010001,False,,0,0,0,False,65100,0.0
1320260319010002,False,,0,0,0,False,65100,0.0
1320260319010003,False,,0,0,0,False,65100,0.0
1320260319010004,False,,0,0,0,False,65100,0.0
1320260319010005,False,,0,0,0,False,65100,0.0
1320260319010006,False,,0,0,0,False,65100,0.0
1320260319010007,False,,0,0,0,False,65100,0.0
1320260319010008,False,,0,0,0,False,65100,0.0
1320260319010009,False,,0,0,0,False,65100,0.0
1320260319020001,False,,0,0,0,False,65100,0.0
1320260319020002,False,,0,0,0,False,65100,0.0
1320260319020003,False,,0,0,0,False,65100,0.0
1320260319020004,False,,0,0,0,False,65100,0.0
1320260319020005,False,,0,0,0,False,65100,0.0
1320260319020006,False,,0,0,0,False,65100,0.0
1320260319020007,False,,0,0,0,False,65100,0.0
1320260319020008,False,,0,0,0,False,65100,0.0
1320260319020009,False,,0,0,0,False,65100,0.0
1320260319030001,False,,0,0,0,False,65100,0.0
1320260319030002,False,,0,0,0,False,65100,0.0
1320260319030003,False,,0,0,0,False,65100,0.0
1320260319030004,False,,0,0,0,False,65100,0.0
1320260319030005,False,,0,0,0,False,65100,0.0
1320260319030006,False,,0,0,0,False,65100,0.0
1320260319030007,False,,0,0,0,False,65100,0.0
1320260319030008,False,,0,0,0,False,65100,0.0
1320260319030009,False,,0,0,0,False,65100,0.0
1320260404010001,False,,0,0,0,False,65100,0.0
1320260404010002,False,,0,0,0,False,65100,0.0
1320260404010003,False,,0,0,0,False,65100,0.0
1320260404010004,False,,0,0,0,False,65100,0.0
1320260404010005,False,,0,0,0,False,65100,0.0
1320260404010006,False,,0,0,0,False,65100,0.0
1320260404010007,False,,0,0,0,False,65100,0.0
1320260404020001,False,,0,0,0,False,65100,0.0
