EV_MIN,matched_races,bought_races,hit_races,stake,payout,ROI,final_bankroll
0.0,41,41,1,4100,14550,3.548780487804878,110450
1.0,41,41,1,4100,14550,3.548780487804878,110450
2.0,40,40,1,4000,14550,3.6375,110550
3.0,34,34,1,3400,14550,4.279411764705882,111150
4.0,29,29,1,2900,14550,5.017241379310345,111650
5.0,16,16,1,1600,14550,9.09375,112950
