race_id,競輪場,レース番号,開始時間,買い目,a,b,odds,p,EV,market_raw,market_prob,market_overround,distortion_ratio,distortion_log,model_rank,market_rank,ev_rank,rank_gap,distortion_z,ev_z,distortion_score
2220260307010001,前橋競輪,1R,16:03,3-7,3,7,258.3,0.0389055737129624,9.049309690058212,0.0038714672861014324,0.0028698771550365026,1.3490010467197822,13.556529285976014,2.6068682974149056,12.0,20.0,1.0,8.0,1.497123963732845,2.217734942509325,0.7645589135219192
2220260307010001,前橋競輪,1R,16:03,3-6,3,6,279.8,0.033962669814606,8.502755014126778,0.0035739814152966403,0.002649354071286378,1.3490010467197822,12.819226455940035,2.550946110851275,15.0,21.0,2.0,6.0,1.448726597971744,2.041827743172432,0.6604129611074581
2220260307010001,前橋競輪,1R,16:03,1-3,1,3,152.6,0.0551706785372031,7.419045544777205,0.006553079947575361,0.004857727844992979,1.3490010467197822,11.357301249947964,2.4298608190621453,7.0,18.0,3.0,11.0,1.3439343944633901,1.6930386722102642,0.600414068348691
2220260307010001,前橋競輪,1R,16:03,2-3,2,3,79.9,0.0838196284362319,5.697188312054935,0.012515644555694618,0.009277713005581084,1.3490010467197822,9.034514042067803,2.2010521364521853,2.0,13.0,4.0,11.0,1.1459139274169219,1.1388634052070694,0.4187983713985176
2220260307010001,前橋競輪,1R,16:03,3-5,3,5,134.3,0.0475698117278849,5.388625715054945,0.007446016381236038,0.005519652041295075,1.3490010467197822,8.618262775148656,2.153883530180384,9.0,17.0,5.0,8.0,1.1050922709249995,1.0395533367937202,0.255300751237476
2220260307010001,前橋競輪,1R,16:03,5-6,5,6,129.1,0.0335287359452575,3.328559810532745,0.0077459333849728895,0.005741977297799602,1.3490010467197822,5.839231714180914,1.7645992324247994,16.0,16.0,6.0,0.0,0.7681895905891192,0.3765264893948624,-0.18201774156732242
2220260307010001,前橋競輪,1R,16:03,6-7,6,7,159.9,0.0231036970065068,2.6942811513404443,0.006253908692933083,0.004635955404289735,1.3490010467197822,4.983589138960425,1.606150342127276,19.0,19.0,7.0,0.0,0.6310613885392184,0.1723855544599753,-0.3863061655213961
2220260307010001,前橋競輪,1R,16:03,3-4,3,4,111.9,0.0292360464595323,2.271513598821674,0.008936550491510277,0.006624568982537342,1.3490010467197822,4.413275268502228,1.4846171051046217,17.0,15.0,8.0,-2.0,0.5258815147582943,0.03631891847821825,-0.43263413971946074
2220260307010001,前橋競輪,1R,16:03,2-6,2,6,36.9,0.0653556948414681,1.4116251396501729,0.02710027100271003,0.02008914008525552,1.3490010467197822,3.253284837521881,1.1796652051616676,5.0,10.0,9.0,5.0,0.2619635682686929,-0.24043394314024266,-0.4867305386043459
2220260307010001,前橋競輪,1R,16:03,2-4,2,4,34.9,0.0592860381434081,1.0690827312049458,0.02865329512893983,0.021240380204754404,1.3490010467197822,2.7911947700138833,1.0264697371644542,6.0,9.0,10.0,3.0,0.1293818944607866,-0.35068032539106997,-0.6055894394159096
2220260307010001,前橋競輪,1R,16:03,4-5,4,5,68.5,0.0289733058602019,0.984671451423834,0.014598540145985401,0.010821741155415015,1.3490010467197822,2.677323865118214,0.9848177378745949,18.0,12.0,11.0,-6.0,0.09333453708468119,-0.37784787599967745,-0.7749631663474108
2220260307010001,前橋競輪,1R,16:03,4-7,4,7,93.2,0.0180315489606406,0.680540363131712,0.01072961373390558,0.007953747523024985,1.3490010467197822,2.267050708634482,0.8184797394976392,20.0,14.0,12.0,-6.0,-0.05062122434211726,-0.4757316748741014,-0.9711565816765373
2220260307010001,前橋競輪,1R,16:03,1-5,1,5,16.5,0.0539196821359162,-0.1103252447573813,0.06060606060606061,0.044926622372480525,1.3490010467197822,1.2001721760357427,0.1824650265500112,8.0,5.0,15.0,-3.0,-0.6010545779618561,-0.7302697115280817,-1.103660143935818
2220260307010001,前橋競輪,1R,16:03,5-7,5,7,25.2,0.038550399488847,-0.0285299328810552,0.03968253968253968,0.02941624083912415,1.3490010467197822,1.3105141373558424,0.2704195315063009,13.0,7.0,13.0,-6.0,-0.5249351232645227,-0.7039441033782079,-1.1248085558707528
2220260307010001,前橋競輪,1R,16:03,2-7,2,7,8.7,0.0787431427032011,-0.3149346584821502,0.1149425287356322,0.08520566312022168,1.3490010467197822,0.9241538627681778,-0.07887670304298253,4.0,3.0,18.0,-1.0,-0.8272304851102491,-0.7961227185761871,-1.1607648744959498
