race_id,競輪場,レース番号,開始時間,best_bet_distortion,best_odds_distortion,best_p_distortion,best_EV_distortion,market_prob,distortion_ratio,distortion_log,distortion_z,rank_gap,distortion_score
4720260226030003,松阪競輪,3R,21:37,1-7,94.5,0.0625080298475953,4.907008820597761,0.00792230435615178,7.8901323440277595,2.0656129083741392,2.973693203714079,13.0,2.164814917815171
8120260306010009,小倉競輪,9R,18:59,2-3,168.0,0.0550417896392549,8.247020659394837,0.004456171678199036,12.351810837132794,2.5138026788320267,2.810574649739198,12.0,2.0875368920464563
8120260226030006,小倉競輪,6R,23:03,1-7,383.2,0.059740130497341,21.89241800658108,0.009084241838211007,6.57623735196922,1.8834627507885424,2.666953817536792,12.0,1.9701095570735283
7320260301030005,小松島競輪,5R,22:36,4-6,201.0,0.024549687023047,3.934487091632451,0.0037102627990808763,6.616697615735431,1.8895963959360071,2.83370237242798,4.0,1.895517720816476
3820260301030005,静岡競輪,5R,22:18,1-7,273.7,0.0628605195251255,16.204924194026855,0.002719754101133837,23.112574580108927,3.1403768235539693,2.2890558195858763,14.0,1.820727804087499
3720260304020009,伊東競輪,9R,19:02,2-6,119.0,0.0564527829387692,5.717881169713536,0.006275080245338942,8.996344384871467,2.1968183153819867,2.521069879236523,14.0,1.815861419889634
8720260304010002,熊本競輪,2R,21:05,2-7,45.7,0.0561792032254154,1.567389587401487,0.016341075129014393,3.4379135264012413,1.2348647543646467,2.559475212700765,7.0,1.7909091796699732
7320260301030006,小松島競輪,6R,23:03,5-6,246.7,0.0255614407554731,5.306007434375217,0.003027919266872939,8.44191621179833,2.133209322190061,2.649682390687876,3.0,1.77392953081378
3720260304010008,伊東競輪,8R,18:46,1-3,108.7,0.0568681549334807,5.181568441269358,0.006831846699290503,8.32397994689526,2.1191404994753427,2.365511786104423,13.0,1.758812976295029
7520260305030008,松山競輪,8R,14:19,4-9,105.2,0.0549382027189588,4.77949892603447,0.007092842472061542,7.74558337191512,2.0471227934410354,2.2893049920964472,18.0,1.7485337433057015
8120260306030008,小倉競輪,8R,18:41,6-7,44.4,0.0587466408521201,1.608350853834135,0.01680307880409779,3.496183142002363,1.2516718425944868,2.464969192311052,9.0,1.7289506840468678
2420260304010001,宇都宮競輪,1R,20:49,1-6,116.2,0.0417859776672371,3.855530604932953,0.006415513114586345,6.513271333779835,1.8738418390581888,2.5485076236919766,9.0,1.7141833586089128
3720260304020012,伊東競輪,12R,20:30,6-7,155.6,0.03952552778341,5.150172123098596,0.004770748951360565,8.284973319305092,2.1144434305371553,2.453662563310384,9.0,1.7000043102951503
8120260226030005,小倉競輪,5R,22:36,2-3,95.2,0.0511203256172682,3.866654998763935,0.007818437135150439,6.538432774614377,1.8776974998620404,2.423190118925663,11.0,1.6929281191063335
8120260306010005,小倉競輪,5R,17:22,1-6,85.5,0.0474698211033737,3.058669704338457,0.008727836090876967,5.438899241881279,1.6935766951719446,2.48296861173896,11.0,1.668660430481312
2620260226030003,西武園競輪,3R,21:29,1-7,128.2,0.0629832873896223,7.074457443349584,0.00582340688988368,10.81553952347383,2.3809839447668804,2.397939769972198,15.0,1.6591218104102619
3820260301030007,静岡競輪,7R,23:12,2-7,161.8,0.051589258663545,7.347142051761587,0.004585104077261629,11.251491303792664,2.4205006802215934,2.173191221535619,9.0,1.6404156660586846
8720260304020006,熊本競輪,6R,22:45,1-3,21.0,0.0879294821088503,0.8465191242858578,0.03566529492455418,2.465407402136715,0.9023570685501604,2.397802491633367,6.0,1.6040365656561049
2620260226030002,西武園競輪,2R,21:05,6-7,180.7,0.0527525386689919,8.532383737486837,0.004132448735598316,12.765442968910461,2.546741751944266,2.0719206138585142,13.0,1.5987190653750898
8720260304010005,熊本競輪,5R,22:18,1-6,111.7,0.1037872913258461,10.59304044109701,0.023775997680126677,4.365212880561146,1.4736669579999941,2.184574833041466,7.0,1.590718058355145
3120260304030002,松戸競輪,2R,21:21,1-5,12.7,0.1121187271867768,0.4239078352720662,0.058495821727019504,1.9166963361602274,0.6506030457660296,2.3951395816248633,4.0,1.57701180624726
3720260304030012,伊東競輪,12R,20:30,3-7,57.5,0.0400223674291281,1.3012861271748686,0.012978740695840605,3.083686496554375,1.1261257957451118,2.431169385521013,9.0,1.5580348635278818
