EV_MIN,odds_min,odds_max,ratio_min,rank_gap_min,bets,hits,hit_rate,stake,payout,ROI,mean_EV,mean_p,mean_odds
5,80,200,1.0,8,33,1,0.030303030303030304,3300,14550,4.409090909090909,7.051153318192391,0.060741308689243885,136.63939393939393
5,80,200,1.5,8,33,1,0.030303030303030304,3300,14550,4.409090909090909,7.051153318192391,0.060741308689243885,136.63939393939393
5,80,200,2.0,8,33,1,0.030303030303030304,3300,14550,4.409090909090909,7.051153318192391,0.060741308689243885,136.63939393939393
5,80,200,3.0,8,33,1,0.030303030303030304,3300,14550,4.409090909090909,7.051153318192391,0.060741308689243885,136.63939393939393
5,80,200,5.0,8,33,1,0.030303030303030304,3300,14550,4.409090909090909,7.051153318192391,0.060741308689243885,136.63939393939393
5,0,200,1.0,8,34,1,0.029411764705882353,3400,14550,4.279411764705882,7.000144035561453,0.06138659731138829,134.86764705882354
5,0,200,1.5,8,34,1,0.029411764705882353,3400,14550,4.279411764705882,7.000144035561453,0.06138659731138829,134.86764705882354
5,0,200,2.0,8,34,1,0.029411764705882353,3400,14550,4.279411764705882,7.000144035561453,0.06138659731138829,134.86764705882354
5,0,200,3.0,8,34,1,0.029411764705882353,3400,14550,4.279411764705882,7.000144035561453,0.06138659731138829,134.86764705882354
5,0,200,5.0,8,34,1,0.029411764705882353,3400,14550,4.279411764705882,7.000144035561453,0.06138659731138829,134.86764705882354
5,20,200,1.0,8,34,1,0.029411764705882353,3400,14550,4.279411764705882,7.000144035561453,0.06138659731138829,134.86764705882354
5,20,200,1.5,8,34,1,0.029411764705882353,3400,14550,4.279411764705882,7.000144035561453,0.06138659731138829,134.86764705882354
5,20,200,2.0,8,34,1,0.029411764705882353,3400,14550,4.279411764705882,7.000144035561453,0.06138659731138829,134.86764705882354
5,20,200,3.0,8,34,1,0.029411764705882353,3400,14550,4.279411764705882,7.000144035561453,0.06138659731138829,134.86764705882354
5,20,200,5.0,8,34,1,0.029411764705882353,3400,14550,4.279411764705882,7.000144035561453,0.06138659731138829,134.86764705882354
5,50,200,1.0,8,34,1,0.029411764705882353,3400,14550,4.279411764705882,7.000144035561453,0.06138659731138829,134.86764705882354
5,50,200,1.5,8,34,1,0.029411764705882353,3400,14550,4.279411764705882,7.000144035561453,0.06138659731138829,134.86764705882354
5,50,200,2.0,8,34,1,0.029411764705882353,3400,14550,4.279411764705882,7.000144035561453,0.06138659731138829,134.86764705882354
5,50,200,3.0,8,34,1,0.029411764705882353,3400,14550,4.279411764705882,7.000144035561453,0.06138659731138829,134.86764705882354
5,50,200,5.0,8,34,1,0.029411764705882353,3400,14550,4.279411764705882,7.000144035561453,0.06138659731138829,134.86764705882354
