race_id,sanrentan_result,payout_sanrentan_100
2220260405010001,2-5-1,2940
2220260405010002,7-5-1,5490
2320260405010001,1-5-2,8300
2320260405010002,2-4-7,970
2320260405010003,1-3-4,10010
2320260405010004,2-7-4,450
2320260405010005,7-1-4,270
2320260405010006,1-5-7,220
2320260405010007,2-7-4,11970
3720260402040001,3-7-5,960
3720260402040002,3-4-8,5550
3720260402040003,5-4-8,29780
3720260402040004,2-9-1,26790
3720260402040005,5-7-3,1380
3720260402040006,5-3-6,3360
3720260402040007,5-1-9,1380
3720260402040008,9-7-1,740
3720260402040009,7-3-6,4630
3720260402040010,5-1-7,650
3720260402040011,7-6-9,488560
3720260402040012,2-6-5,13530
4520260404020001,1-4-2,2240
4520260404020002,5-6-4,9700
7420260405010001,1-2-3,3870
7420260405010002,2-5-6,1130
7420260405010003,4-3-5,2510
7420260405010004,1-7-3,610
7420260405010005,4-6-1,10670
7420260405010006,1-3-2,1320
7420260405010007,7-4-5,90720
7420260405010008,7-2-1,4090
7420260405010009,2-5-3,1130
7420260405010010,1-3-4,29530
7420260405010011,7-1-4,370
7420260405010012,1-2-5,4870
