race_id,sanrentan_result,payout_sanrentan_100
2820260727030001,7-1-5,145650
2820260727030002,3-4-7,16060
2820260727030003,3-5-4,1250
2820260727030004,2-6-1,2940
2820260727030005,1-4-6,7500
2820260727030006,5-7-1,10300
2820260727030007,1-5-7,2100
2820260727030008,1-3-7,3950
2820260727030009,1-5-4,400
2820260727030010,3-5-4,1480
2820260727030011,1-7-5,6730
2820260727030012,3-2-7,4300
3520260728020001,1-3-5,2670
3520260728020002,1-3-2,470
5520260729010001,7-3-5,10540
5520260729010002,1-2-7,3950
5520260729010003,1-3-5,5500
5520260729010004,1-5-3,1390
5520260729010005,2-1-5,1720
5520260729010006,3-1-4,6890
5520260729010007,7-3-1,2640
5520260729010008,7-2-4,8770
5520260729010009,3-5-1,4740
5520260729010010,3-1-6,12070
5520260729010011,6-4-7,12530
5520260729010012,7-1-4,830
6120260727030001,1-4-5,10880
6120260727030002,7-3-5,6920
6120260727030003,7-5-1,1800
6220260727030001,2-5-6,22600
6220260727030002,7-4-3,15760
6220260727030003,4-1-2,10540
6220260727030004,4-3-2,58560
6220260727030005,1-7-5,22110
6220260727030006,6-5-3,1160
6220260727030007,1-5-2,730
