race_id,sanrentan_result,payout_sanrentan_100
1320260309010001,5-1-4,13550
1320260309010002,4-1-2,2030
1320260309010003,7-3-4,920
2220260307030001,7-1-4,10310
2220260307030002,2-1-7,1120
2420260309010001,5-4-7,29810
2420260309010002,4-1-3,1120
2420260309010003,4-2-6,490
2420260309010004,3-1-7,160
2420260309010005,1-2-6,2460
2420260309010006,5-7-6,141650
2420260309010007,4-1-7,2370
2420260309010008,1-7-4,3490
2420260309010009,2-3-6,27860
2420260309010010,4-5-1,6490
2420260309010011,4-2-1,4840
2820260307030001,7-5-2,2580
2820260307030002,1-2-4,22930
2820260307030003,2-5-1,2970
2820260307030004,5-2-1,4640
2820260307030005,7-1-4,149060
2820260307030006,1-4-6,1190
2820260307030007,2-4-1,630
3620260308020001,5-1-2,2850
3620260308020002,1-5-3,5730
3620260308020003,5-7-1,2430
3620260308020004,7-1-2,1560
3620260308020005,1-7-5,1200
3620260308020006,5-6-2,7440
3620260308020007,7-2-5,5720
3620260308020008,2-3-7,3670
3620260308020009,2-1-5,7900
3620260308020010,5-7-3,2750
3620260308020011,3-4-1,760
3620260308020012,4-7-1,4290
8420260309010001,5-7-6,46820
8420260309010002,7-5-1,4540
8420260309010003,5-3-2,42010
8420260309010004,2-4-6,390
8420260309010005,4-7-3,2190
8420260309010006,1-7-4,1920
8420260309010007,7-4-5,8180
