race_id,競輪場,レース番号,開始時間,買い目,a,b,odds,p,EV
8320260707010005,久留米競輪,5R,17:41,5-6,5,6,898.9,0.04836427889745418,42.47465030092156
2320260706020004,取手競輪,4R,12:19,2-6,2,6,882.2,0.042706945678953376,36.67606747797267
6120260707010002,玉野競輪,2R,21:10,5-6,5,6,799.2,0.04417735372814695,34.306541099535046
8320260707010005,久留米競輪,5R,17:41,4-6,4,6,749.1,0.04660143428536256,33.90913442316509
8320260707010005,久留米競輪,5R,17:41,4-5,4,5,749.1,0.04547246240821324,33.06342158999254
6120260707010002,玉野競輪,2R,21:10,2-7,2,7,685.0,0.04858139633577125,32.27825649000331
6120260707010002,玉野競輪,2R,21:10,2-6,2,6,685.0,0.047278148074868666,31.385531431285038
2320260706020005,取手競輪,5R,12:46,1-4,1,4,624.0,0.048920952632541495,29.526674442705893
8320260707010005,久留米競輪,5R,17:41,1-6,1,6,642.1,0.04575470599778056,28.3790967211749
2320260706020005,取手競輪,5R,12:46,1-6,1,6,624.0,0.04457052116784682,26.812005208736416
8520260705030006,佐世保競輪,6R,10:14,2-3,2,3,564.2,0.04835697302994488,26.283004183494903
6120260707010002,玉野競輪,2R,21:10,5-7,5,7,599.4,0.04546954084073049,26.254442779933854
6120260707010002,玉野競輪,2R,21:10,4-6,4,6,599.4,0.045286925581313545,26.144983193439337
2120260707010004,弥彦競輪,4R,21:40,6-7,6,7,774.4,0.03454703754206376,25.753225872574173
8320260707010006,久留米競輪,6R,18:05,3-5,3,5,534.0,0.04799197480666412,24.62771454675864
2320260706020004,取手競輪,4R,12:19,5-6,5,6,617.5,0.040633352142624514,24.091094948070637
6120260707010002,玉野競輪,2R,21:10,4-7,4,7,532.8,0.04659699156577769,23.826877106246354
8320260707010006,久留米競輪,6R,18:05,5-6,5,6,534.0,0.04426667124224577,22.638402443359244
6120260707010002,玉野競輪,2R,21:10,6-7,6,7,479.5,0.048159965514321446,22.092703464117132
2320260706020004,取手競輪,4R,12:19,1-6,1,6,561.4,0.0388569388984581,20.814285497594376
6320260707010004,防府競輪,4R,12:01,6-7,6,7,508.7,0.04194288258137953,20.336344369147767
8320260707010006,久留米競輪,6R,18:05,2-3,2,3,457.7,0.04653036095615224,20.29694620963088
2120260707010003,弥彦競輪,3R,21:20,5-7,5,7,564.1,0.0372449200154131,20.009859380694532
6120260707010002,玉野競輪,2R,21:10,3-6,3,6,435.9,0.04664813933575365,19.333923936455015
6120260707010005,玉野競輪,5R,22:10,4-7,4,7,486.5,0.040745607937049844,18.82273826137475
6320260707010010,防府競輪,10R,14:56,3-4,3,4,535.8,0.036660054389347226,18.64245714181224
6120260707010001,玉野競輪,1R,20:50,5-7,5,7,426.1,0.04595946144942127,18.583326523598405
4520260705030005,豊橋競輪,5R,17:29,3-7,3,7,405.9,0.048181174227997656,18.556738619144248
2120260707010004,弥彦競輪,4R,21:40,3-7,3,7,473.2,0.0406756603344302,18.24772247025237
2320260706020004,取手競輪,4R,12:19,6-7,6,7,411.7,0.0466609202451876,18.210300864943736
2320260706020005,取手競輪,5R,12:46,1-2,1,2,416.0,0.04448414431794587,17.50540403626548
8520260705030007,佐世保競輪,7R,10:35,2-7,2,7,408.7,0.04458985442562215,17.223873503751772
2320260706020004,取手競輪,4R,12:19,4-5,4,5,411.7,0.043664798290062735,16.97679745601883
6120260707010005,玉野競輪,5R,22:10,6-7,6,7,486.5,0.036137698467355726,16.580990304368562
6120260707010001,玉野競輪,1R,20:50,6-7,6,7,360.5,0.04873471474484565,16.568864665516855
4520260705030005,豊橋競輪,5R,17:29,5-7,5,7,376.9,0.046466928640374855,16.513385404557283
8320260707010002,久留米競輪,2R,16:31,5-6,5,6,481.9,0.036248822737341424,16.46830767712483
2120260707010004,弥彦競輪,4R,21:40,3-6,3,6,387.2,0.04459126991122682,16.265739709627024
2320260706020004,取手競輪,4R,12:19,1-5,1,5,385.9,0.04427812900467526,16.08692998290418
8520260705030006,佐世保競輪,6R,10:14,2-5,2,5,376.1,0.04521661617413491,16.00596934309214
2120260707010003,弥彦競輪,3R,21:20,6-7,6,7,475.0,0.035578883363468455,15.899969597647516
2120260707010004,弥彦競輪,4R,21:40,5-7,5,7,425.9,0.038469559094951734,15.384185218539944
2320260706020005,取手競輪,5R,12:46,4-6,4,6,340.3,0.0462683546868378,14.745121099930904
6120260707010002,玉野競輪,2R,21:10,4-5,4,5,368.8,0.04251704019146716,14.68028442261309
8320260707010006,久留米競輪,6R,18:05,1-3,1,3,320.4,0.048776741439702925,14.628067957280816
2320260706020006,取手競輪,6R,13:16,1-6,1,6,320.1,0.0487139443048099,14.59333357196965
2120260707010001,弥彦競輪,1R,20:40,3-7,3,7,327.8,0.04747302917282015,14.561658962850444
6320260707010008,防府競輪,8R,13:56,4-6,4,6,430.1,0.035982916566466676,14.476252415237319
8320260707010005,久留米競輪,5R,17:41,1-5,1,5,345.7,0.044622736371514996,14.426079963632734
6120260707010002,玉野競輪,2R,21:10,3-7,3,7,319.7,0.04795424292310402,14.330971462516354
4520260705030005,豊橋競輪,5R,17:29,1-7,1,7,329.8,0.04520161597202632,13.907492947574282
6320260707010001,防府競輪,1R,10:45,2-6,2,6,399.2,0.03733925624845017,13.905831094381307
2120260707010003,弥彦競輪,3R,21:20,2-6,2,6,311.2,0.047145305045411534,13.67161893013207
8320260707010008,久留米競輪,8R,18:55,4-5,4,5,397.8,0.03670950600558107,13.603041489020152
6120260707010001,玉野競輪,1R,20:50,4-7,4,7,312.5,0.04667299515418226,13.585310985681955
6120260707010002,玉野競輪,2R,21:10,2-5,2,5,319.7,0.04446630265286457,13.215876958120802
2320260706020004,取手競輪,4R,12:19,2-4,2,4,308.7,0.045891316827363124,13.166649504606996
6120260707010001,玉野競輪,1R,20:50,4-6,4,6,312.5,0.044796218956963216,12.998818424051004
8320260707010004,久留米競輪,4R,17:17,6-7,6,7,358.9,0.038865314007488556,12.948761197287642
8320260707010002,久留米競輪,2R,16:31,2-6,2,6,301.2,0.04613515937293629,12.89591000312841
8520260705030006,佐世保競輪,6R,10:14,2-4,2,4,307.7,0.045078042587970255,12.870513704318446
2320260706020005,取手競輪,5R,12:46,1-7,1,7,288.0,0.04697619632777003,12.52914454239777
8520260705030006,佐世保競輪,6R,10:14,2-6,2,6,282.1,0.04781542439728758,12.488731222474827
6320260707010001,防府競輪,1R,10:45,2-3,2,3,258.3,0.05188339454938096,12.401480812105103
2320260706020007,取手競輪,7R,13:46,2-3,2,3,287.1,0.04654043886768469,12.361759998912277
6120260707010006,玉野競輪,6R,22:30,5-6,5,6,352.8,0.03755306061228829,12.248719784015309
2120260707010003,弥彦競輪,3R,21:20,2-7,2,7,311.2,0.042528792328668547,12.234960172681651
8320260707010004,久留米競輪,4R,17:17,4-6,4,6,295.5,0.044703793984969487,12.209971122558484
8320260707010004,久留米競輪,4R,17:17,2-3,2,3,335.0,0.038934620068904094,12.043097723082871
