race_id,sanrentan_result,payout_sanrentan_100
1220260617010001,5-2-1,1990
1220260617010002,1-6-4,6350
1220260617010003,1-7-5,7350
1220260617010004,1-2-4,1170
1220260617010005,3-7-5,490
1220260617010006,1-4-7,180
1220260617010007,2-5-6,340
2720260617010002,5-1-7,1930
2720260617010003,2-7-4,33680
2720260617010004,5-2-4,390
2720260617010005,2-3-5,97280
2720260617010006,5-2-4,1060
2720260617010007,5-4-7,53080
2720260617010008,2-5-3,720
2720260617010009,7-4-5,44230
2720260617010010,4-1-3,1470
2720260617010011,3-4-6,920
2720260617010012,1-5-7,87020
3120260615030001,2-1-4,1190
3120260615030002,6-1-4,6120
3120260615030003,2-3-1,1710
3120260615030004,1-3-4,2980
3120260615030005,2-3-6,6770
3120260615030006,6-1-2,13920
3120260615030007,6-5-7,5260
3120260615030008,4-1-5,5320
3120260615030009,2-5-4,8640
4620260616020001,5-4-6,5160
4620260616020002,2-3-5,3590
4620260616020003,1-7-4,1030
4620260616020004,5-4-7,27130
4620260616020005,5-4-1,810
4620260616020006,3-4-7,730
4620260616020007,2-7-5,4450
4620260616020008,5-2-3,5930
4620260616020009,3-4-5,1790
4620260616020010,5-2-3,3700
4620260616020011,4-1-2,1410
4720260615030001,1-2-4,850
4720260615030002,1-6-3,6580
4720260615030003,1-2-3,2560
4720260615030004,3-2-1,3330
4720260615030005,3-1-2,3460
4720260615030006,6-1-5,26700
4720260615030007,4-3-1,4820
4720260615030008,1-4-7,14420
4720260615030009,3-5-1,1210
5620260616020001,5-3-2,4880
5620260616020002,1-9-2,30830
5620260616020003,5-2-3,64310
5620260616020004,7-9-5,5190
5620260616020005,4-5-2,27860
5620260616020006,7-5-3,23410
5620260616020007,4-2-5,42290
5620260616020008,6-1-9,464820
5620260616020009,3-4-1,19490
5620260616020010,3-9-4,35210
5620260616020011,1-3-2,1320
5620260616020012,3-6-1,13590
8620260615030001,7-3-1,1130
8620260615030002,4-3-5,6950
8620260615030003,5-1-2,1770
8620260615030004,7-2-6,35920
8620260615030005,4-2-1,13380
8620260615030006,4-7-2,1200
8620260615030007,7-3-1,4140
8620260615030008,3-5-7,1680
8620260615030009,1-6-2,4980
8620260615030010,4-1-2,2780
8620260615030011,5-7-2,13660
8620260615030012,1-5-6,71360
