race_id,sanrentan_result,payout_sanrentan_100
2320260726020001,5-2-3,1310
2320260726020002,4-5-2,17110
2320260726020003,3-5-6,7640
2320260726020004,2-1-4,4300
2320260726020005,1-5-2,3260
2320260726020006,2-7-4,1170
2320260726020007,4-7-1,1210
2820260727010001,4-5-2,8330
2820260727010002,1-7-6,8500
2820260727010003,2-4-7,500
2820260727010004,1-5-4,4720
2820260727010005,4-7-1,2210
2820260727010006,3-1-6,220
2820260727010007,1-4-5,1810
2820260727010008,7-5-4,9620
2820260727010009,1-5-6,890
2820260727010010,5-2-3,1040
2820260727010011,4-5-2,300
2820260727010012,3-1-6,8470
4520260725030001,7-1-4,5440
4520260725030002,2-7-5,8990
4520260725030003,5-2-7,390
4520260725030004,3-9-5,17120
4520260725030005,2-9-3,7680
4520260725030006,7-9-3,340
4520260725030007,2-8-5,2880
4520260725030008,9-1-5,17230
4520260725030009,1-5-9,980
4520260725030010,5-3-4,3180
4520260725030011,1-2-3,9390
4520260725030012,7-2-1,27750
5320260725030001,5-7-1,15560
5320260725030002,1-5-4,7650
5320260725030003,7-6-5,5870
6120260727010001,2-5-3,24970
6120260727010002,3-7-2,1170
6120260727010003,5-1-3,610
6220260727010001,4-3-7,2780
6220260727010002,5-1-2,2040
6220260727010003,5-1-7,750
6220260727010004,1-5-6,410
6220260727010005,2-1-7,7130
6220260727010006,4-3-1,1770
6220260727010007,7-2-1,880
