race_id,競輪場,レース番号,開始時間,bets,settled_bets,stake,payout,profit,hit_exact,hit_set,hit_exact_rate,hit_set_rate
6220260708010002,広島競輪,2R,08:50,1,0,100,0.0,-100.0,0,0,,
6220260708010003,広島競輪,3R,09:11,1,0,100,0.0,-100.0,0,0,,
6220260708010005,広島競輪,5R,09:53,1,0,100,0.0,-100.0,0,0,,
6220260708010007,広島競輪,7R,10:35,1,0,100,0.0,-100.0,0,0,,
2320260706030001,取手競輪,1R,11:01,1,0,200,0.0,-200.0,0,0,,
6320260707020004,防府競輪,4R,12:10,1,0,200,0.0,-200.0,0,0,,
6320260707020007,防府競輪,7R,13:36,1,0,100,0.0,-100.0,0,0,,
4420260708010009,大垣競輪,9R,14:26,1,0,100,0.0,-100.0,0,0,,
6320260707020009,防府競輪,9R,14:36,1,0,100,0.0,-100.0,0,0,,
8320260707020001,久留米競輪,1R,16:09,1,0,200,0.0,-200.0,0,0,,
1120260708010003,函館競輪,3R,16:41,1,0,100,0.0,-100.0,0,0,,
8320260707020003,久留米競輪,3R,16:53,1,0,100,0.0,-100.0,0,0,,
1120260708010004,函館競輪,4R,17:05,1,0,100,0.0,-100.0,0,0,,
8320260707020004,久留米競輪,4R,17:17,1,0,100,0.0,-100.0,0,0,,
1120260708010008,函館競輪,8R,18:42,1,0,200,0.0,-200.0,0,0,,
1120260708010010,函館競輪,10R,19:34,1,0,200,0.0,-200.0,0,0,,
1120260708010011,函館競輪,11R,20:01,1,0,100,0.0,-100.0,0,0,,
8320260707020011,久留米競輪,11R,20:15,1,0,100,0.0,-100.0,0,0,,
2120260707020004,弥彦競輪,4R,21:40,1,0,100,0.0,-100.0,0,0,,
6120260707020004,玉野競輪,4R,21:50,1,0,200,0.0,-200.0,0,0,,
