race_id,sanrentan_result,payout_sanrentan_100
1220260730030001,2-7-5,1840
1220260730030002,2-4-3,2360
1220260730030003,1-7-4,41750
1220260730030004,7-2-4,5480
1220260730030005,1-3-4,10890
1220260730030006,6-5-2,1690
1220260730030007,5-1-4,26600
1320260731020001,1-4-7,1260
1320260731020002,7-1-3,5610
1320260731020003,5-6-2,219540
1320260731020004,6-1-3,4640
1320260731020005,4-1-5,3770
1320260731020006,2-4-1,12880
1320260731020007,4-5-3,2070
1320260731020008,5-3-1,1380
1320260731020009,1-5-3,1330
2120260730030001,6-2-3,8530
2120260730030002,7-5-1,4270
2120260730030003,6-5-2,850
2120260730030004,4-1-3,2380
2120260730030005,2-6-3,3140
2120260730030006,2-5-1,1790
2120260730030007,3-7-4,23160
2120260730030008,5-1-3,4140
2120260730030009,5-1-6,1670
3620260801010001,5-1-9,400
3620260801010002,9-4-5,506950
3620260801010003,3-9-5,10290
3620260801010004,7-5-2,20650
3620260801010005,7-3-9,30010
3620260801010006,9-5-1,5330
3620260801010007,7-2-1,1940
3620260801010008,7-4-1,18510
3620260801010009,9-7-3,9550
3620260801010010,4-7-2,64650
3620260801010011,1-9-5,1230
3620260801010012,1-4-5,6780
4320260730030001,7-3-5,430
4320260730030002,4-3-1,2400
4320260730030003,7-5-2,1950
4320260730030004,3-2-1,15030
4320260730030005,1-6-3,4310
4320260730030006,2-1-6,840
4320260730030007,4-1-5,37340
4320260730030008,4-7-6,4450
4320260730030009,7-2-4,360
4320260730030010,4-6-5,12890
4320260730030011,5-2-7,2300
6320260731020001,4-6-1,191710
6320260731020002,5-3-7,49770
6320260731020003,4-6-1,38830
6320260731020004,2-7-4,3770
6320260731020005,5-3-4,2540
6320260731020006,5-1-3,2840
6320260731020007,5-2-6,760
8520260731020001,5-1-4,5450
8520260731020002,2-7-4,360
8520260731020003,7-3-4,1620
8520260731020004,7-3-2,2560
8520260731020005,3-7-4,118520
8520260731020006,2-4-6,3510
8520260731020007,7-4-3,6880
8520260731020008,7-5-4,12560
8520260731020009,5-1-4,16030
8520260731020010,5-7-2,3030
8520260731020011,1-3-6,7230
8520260731020012,4-1-6,2240
