race_id,sanrentan_result,payout_sanrentan_100
2220260225030001,6-3-1,10490
2220260225030002,4-2-6,40930
2220260225030003,7-6-2,26610
2320260225030001,6-2-7,101170
2320260225030002,5-3-6,85380
2320260225030003,5-3-2,5590
2320260225030004,6-2-7,7170
2320260225030005,1-5-4,2090
2320260225030006,1-5-3,4750
2320260225030007,1-7-3,770
2320260225030008,4-5-7,25030
2320260225030009,1-4-7,3370
2320260225030010,4-5-2,62840
2320260225030011,7-1-5,15220
3620260225030001,6-3-4,10330
3620260225030002,1-4-7,4140
3620260225030003,4-2-3,6020
3620260225030004,5-1-4,8070
3620260225030005,5-1-3,2150
3620260225030006,4-3-5,1590
3620260225030007,4-2-3,860
3620260225030008,7-2-3,800
3620260225030009,7-4-3,89790
3620260225030010,7-2-1,1480
3620260225030011,1-4-7,1160
3620260225030012,4-2-1,21830
5320260227010001,5-2-4,25590
5320260227010002,5-1-3,7820
5320260227010003,1-7-4,710
5320260227010004,3-4-5,320
5320260227010005,1-7-4,1530
5320260227010006,7-1-3,85870
5320260227010007,1-3-2,1260
7520260227010001,5-1-4,2810
7520260227010002,4-2-3,3460
7520260227010003,5-3-2,820
