race_id,sanrentan_result,payout_sanrentan_100
2120260717030001,7-3-4,40520
2120260717030002,1-7-5,460
2120260717030003,2-4-1,6100
2120260717030004,2-4-7,2790
2120260717030005,4-1-7,1650
2120260717030006,3-7-6,16750
2120260717030007,3-7-2,14400
2120260717030008,7-3-5,1630
2120260717030009,7-1-4,2270
2120260717030010,5-7-1,440
2120260717030011,7-5-2,26520
3120260719010001,2-7-1,1270
3120260719010002,2-5-6,2440
3120260719010003,5-3-6,7680
3120260719010004,1-4-7,680
3120260719010005,5-1-3,660
3120260719010006,1-5-4,240
3120260719010007,4-7-1,180
3820260718020001,7-3-2,1720
3820260718020002,1-7-4,7820
3820260718020003,3-1-6,8420
3820260718020004,5-2-4,13390
3820260718020005,5-2-4,1560
3820260718020006,3-6-2,1410
3820260718020007,2-4-1,4310
3820260718020008,7-4-3,12980
3820260718020009,5-4-7,12660
3820260718020010,1-5-2,16540
3820260718020011,5-3-4,13420
3820260718020012,1-7-4,790
4320260718020001,1-5-3,490
4320260718020002,4-6-3,780
4320260718020003,2-4-7,54050
4320260718020004,5-2-1,490
4320260718020005,5-3-4,7630
4320260718020006,4-1-7,1030
4320260718020007,3-7-5,570
7420260717030001,1-3-2,8330
7420260717030002,7-1-4,5730
7420260717030003,1-4-9,25850
7420260717030004,1-6-3,10180
