race_id,競輪場,レース番号,開始時間,買い目,a,b,odds,p,EV
6120260525010006,玉野競輪,6R,22:54,1-7,1,7,4976.2,0.09013446521363991,447.5271257961149
6120260525010006,玉野競輪,6R,22:54,1-4,1,4,4976.2,0.07081823889562504,351.4057203924093
6120260525010006,玉野競輪,6R,22:54,2-4,2,4,4976.2,0.05570339752188222,276.1912467483903
6120260525010006,玉野競輪,6R,22:54,5-7,5,7,4976.2,0.027585245572400094,136.26969901737735
6120260525010006,玉野競輪,6R,22:54,1-3,1,3,1244.0,0.09654279754898065,119.09924015093193
6120260525010006,玉野競輪,6R,22:54,1-6,1,6,4976.2,0.01766532466943649,86.90618862004985
6120260525010007,玉野競輪,7R,23:21,1-7,1,7,790.5,0.10502534058911135,82.02253173569252
6120260525010007,玉野競輪,7R,23:21,1-6,1,6,790.5,0.09768272418090418,76.21819346500476
6120260525010006,玉野競輪,6R,22:54,2-3,2,3,829.3,0.08065840346412056,65.89001399279518
6120260525010007,玉野競輪,7R,23:21,1-4,1,4,790.5,0.08249393920492093,64.21145894149
6120260525010007,玉野競輪,7R,23:21,2-7,2,7,790.5,0.05623456743155339,43.453425554642955
4220260525010006,名古屋競輪,6R,22:45,1-7,1,7,318.7,0.09252734410175759,28.488464565230142
4220260525010006,名古屋競輪,6R,22:45,1-4,1,4,318.7,0.08586580482556183,26.365431997906555
6120260525010007,玉野競輪,7R,23:21,2-3,2,3,395.2,0.06524327924482212,24.784143957553702
6120260525010006,玉野競輪,6R,22:54,2-6,2,6,1658.7,0.014541401621589393,23.119822869730328
6120260525010007,玉野競輪,7R,23:21,6-7,6,7,790.5,0.02905991220571545,21.97186059861806
6120260525010007,玉野競輪,7R,23:21,1-3,1,3,197.6,0.11088843085516431,20.911553936980468
8620260525010004,別府競輪,4R,16:55,6-7,6,7,1065.9,0.019450466608494563,19.73225235799436
8620260525010011,別府競輪,11R,19:48,4-6,4,6,1011.0,0.019284534859369862,18.49666474282293
8620260525010011,別府競輪,11R,19:48,5-6,5,6,1011.0,0.01875063247509281,17.956889432318828
1120260523030004,函館競輪,4R,17:07,5-7,5,7,169.1,0.10705103737437363,17.10233042000658
8620260525010004,別府競輪,4R,16:55,5-7,5,7,444.1,0.040527886389399415,16.99843434553228
3820260524020006,静岡競輪,6R,13:22,4-6,4,6,559.4,0.03178230681802152,16.779022434001238
8620260525010004,別府競輪,4R,16:55,2-5,2,5,380.6,0.04515949168597992,16.187702535683957
4220260525010005,名古屋競輪,5R,22:18,1-3,1,3,155.2,0.0991020948244266,14.380645116751007
8620260525010011,別府競輪,11R,19:48,3-5,3,5,505.5,0.029360914805784018,13.84194243432382
4220260525010006,名古屋競輪,6R,22:45,1-3,1,3,159.3,0.09295339476357584,13.807475785837632
4220260525010005,名古屋競輪,5R,22:18,1-7,1,7,155.2,0.09183140940886281,13.252234740255506
6120260525010004,玉野競輪,4R,22:01,2-4,2,4,223.5,0.06346425809286013,13.18426168375424
4420260525010003,大垣競輪,3R,11:40,4-6,4,6,307.8,0.045831121597701606,13.106819227772554
6120260525010007,玉野競輪,7R,23:21,2-5,2,5,790.5,0.015202500028540433,11.017576272561213
4220260525010005,名古屋競輪,5R,22:18,2-4,2,4,155.2,0.07683430995966063,10.92468490573933
6120260525010004,玉野競輪,4R,22:01,4-5,4,5,223.5,0.05153689868589121,10.518496856296686
8620260525010011,別府競輪,11R,19:48,2-3,2,3,337.0,0.03273298617556856,10.031016341166604
5520260523030003,和歌山競輪,3R,09:11,3-6,3,6,267.4,0.04094855350151301,9.949643206304579
6120260525010004,玉野競輪,4R,22:01,3-4,3,4,223.5,0.04887558627776242,9.923693533079902
6120260525010007,玉野競輪,7R,23:21,2-6,2,6,197.6,0.0547300197642997,9.81465190542562
6120260525010004,玉野競輪,4R,22:01,1-4,1,4,111.7,0.09506303362821411,9.618540856271517
6120260525010004,玉野競輪,4R,22:01,1-7,1,7,223.5,0.04743385396856809,9.60146636197497
