race_id,sanrentan_result,payout_sanrentan_100
1120260523030001,5-4-2,2380
1120260523030002,2-4-1,2240
1120260523030003,2-7-3,1390
3820260524020001,5-2-3,1320
3820260524020002,2-4-5,880
3820260524020003,4-7-1,36940
3820260524020004,4-5-3,420
3820260524020005,2-6-7,5490
3820260524020006,7-2-6,920
3820260524020007,5-2-3,8870
3820260524020008,7-4-5,15550
3820260524020009,2-4-3,2770
3820260524020010,7-4-1,1180
3820260524020011,5-1-4,3360
4420260525010001,2-1-6,2030
4420260525010002,2-4-3,27040
4420260525010003,3-5-7,2620
4420260525010004,1-5-7,5520
4420260525010005,7-5-4,40370
4420260525010006,1-5-4,164630
4420260525010007,6-2-1,66500
4420260525010008,1-6-2,28680
4420260525010009,3-2-5,8820
4420260525010010,3-5-1,2030
4420260525010011,5-7-3,2380
4420260525010012,4-3-6,520
5520260523030001,1-2-3,7750
5520260523030002,7-2-5,3390
5520260523030003,7-1-4,3660
5520260523030004,4-1-5,2390
5520260523030005,3-7-4,4540
5520260523030006,5-7-3,4950
5520260523030007,1-4-3,8440
8620260525010001,2-4-6,1590
8620260525010002,4-1-3,4070
8620260525010003,7-3-4,710
