race_id,sanrentan_result,payout_sanrentan_100
2620260803030001,1-4-3,1950
2620260803030002,3-7-2,2720
2620260803030003,1-5-7,4030
4220260804020001,5-1-4,260
4220260804020002,3-5-1,19790
4220260804020003,5-1-7,9660
4520260805010001,5-3-7,1100
4520260805010002,4-3-1,1370
4520260805010003,4-7-5,2940
4520260805010004,2-6-3,30070
4520260805010005,1-3-5,590
4520260805010006,6-2-4,460
4520260805010007,1-3-5,2820
4520260805010008,6-5-3,4810
4520260805010009,3-2-4,40860
4520260805010010,7-4-1,52980
4520260805010011,6-4-5,11210
6220260803030001,1-5-7,1130
6220260803030002,3-1-7,500
6220260803030003,1-5-6,75210
6220260803030004,1-3-5,4070
6220260803030005,2-3-7,6350
6220260803030006,4-1-2,2660
6220260803030007,4-7-1,18100
7320260804020001,6-4-7,77800
7320260804020002,2-7-1,5950
7320260804020003,4-6-3,3120
7320260804020004,4-5-1,10620
7320260804020005,7-4-1,2160
7320260804020006,1-5-6,11220
7320260804020007,3-4-7,12720
7320260804020008,1-7-6,10730
7320260804020009,7-3-6,5820
7320260804020010,2-5-1,850
7320260804020011,3-4-5,2410
7320260804020012,3-4-1,11970
8620260804020001,4-1-5,680
8620260804020002,1-2-7,35900
8620260804020003,5-4-2,1010
8620260804020004,4-1-7,1590
8620260804020005,2-5-3,3190
8620260804020006,6-1-4,51920
8620260804020007,7-5-4,1370
