race_id,sanrentan_result,payout_sanrentan_100
2620260803020001,4-3-1,3300
2620260803020002,3-1-6,10920
2620260803020003,5-4-6,177800
2620260803020004,7-2-5,1410
2620260803020005,5-7-3,3100
2620260803020006,3-2-5,490
2620260803020007,5-4-1,180
2620260803020008,7-5-2,1240
2620260803020009,4-3-5,5490
2620260803020010,4-2-7,4390
2620260803020011,4-7-1,37860
3620260801040001,1-5-4,220
3620260801040002,1-3-4,2460
3620260801040003,1-8-5,47270
3620260801040004,4-6-2,93130
3620260801040005,4-7-3,30530
3620260801040006,6-2-5,5210
3620260801040007,2-9-7,7640
3620260801040008,2-8-1,12210
3620260801040009,2-9-7,35710
3620260801040010,9-2-5,8180
3620260801040011,1-5-4,13020
4220260804010001,1-7-4,1190
4220260804010002,4-7-1,1580
4220260804010003,1-5-6,540
4220260804010004,7-5-3,1650
4220260804010005,5-2-1,2950
4220260804010006,5-4-3,12520
4220260804010007,5-2-1,1820
4220260804010008,1-4-3,6020
4220260804010009,1-7-4,2240
4220260804010010,5-3-7,3040
4220260804010011,5-1-3,3970
6220260803020001,2-1-5,1690
6220260803020002,1-7-2,650
6220260803020003,5-4-3,2670
6220260803020004,7-4-1,7060
6220260803020005,7-2-1,1160
6220260803020006,4-1-5,670
6220260803020007,3-5-1,10370
7320260804010001,1-5-4,3560
7320260804010002,2-5-3,1100
7320260804010003,5-2-3,11270
7320260804010004,5-3-2,1580
7320260804010005,4-3-2,6700
7320260804010006,3-5-1,2950
7320260804010007,5-2-7,1140
7320260804010008,1-3-7,5390
7320260804010009,4-7-1,460
7320260804010010,3-1-2,73890
7320260804010011,4-3-1,2970
7320260804010012,5-1-2,7990
8620260804010001,7-2-4,2440
8620260804010002,7-4-1,21710
8620260804010003,3-7-5,540
8620260804010004,1-4-6,74710
8620260804010005,2-5-6,420
8620260804010006,3-4-5,540
8620260804010007,1-5-4,13380
