race_id,競輪場,レース番号,開始時間,bets,settled_bets,stake,payout,profit,hit_exact,hit_set,hit_exact_rate,hit_set_rate
6320260501030003,防府競輪,3R,09:11,1,1,200,0.0,-200.0,0,0,0.0,0.0
3520260501030005,平塚競輪,5R,12:57,1,1,200,0.0,-200.0,0,0,0.0,0.0
5320260501030001,奈良競輪,1R,15:56,1,1,200,0.0,-200.0,0,0,0.0,0.0
5320260501030002,奈良競輪,2R,16:20,1,1,200,0.0,-200.0,0,0,0.0,0.0
2720260503010002,京王閣競輪,2R,16:37,1,1,200,0.0,-200.0,0,0,0.0,0.0
5320260501030003,奈良競輪,3R,16:44,1,1,200,0.0,-200.0,0,0,0.0,0.0
2720260503010003,京王閣競輪,3R,16:59,1,1,200,0.0,-200.0,0,0,0.0,0.0
2720260503010004,京王閣競輪,4R,17:21,1,1,100,0.0,-100.0,0,0,0.0,0.0
2720260503010006,京王閣競輪,6R,18:08,1,1,100,0.0,-100.0,0,0,0.0,0.0
2720260503010008,京王閣競輪,8R,18:56,1,1,100,0.0,-100.0,0,0,0.0,0.0
2720260503010010,京王閣競輪,10R,19:48,1,1,200,0.0,-200.0,0,0,0.0,0.0
2620260501030001,西武園競輪,1R,20:49,1,1,200,0.0,-200.0,0,0,0.0,0.0
8320260501030001,久留米競輪,1R,20:57,1,1,200,0.0,-200.0,0,0,0.0,0.0
7520260501030002,松山競輪,2R,21:05,1,1,200,0.0,-200.0,0,0,0.0,0.0
8320260501030002,久留米競輪,2R,21:21,1,1,100,0.0,-100.0,0,0,0.0,0.0
7520260501030003,松山競輪,3R,21:29,1,1,200,0.0,-200.0,0,0,0.0,0.0
8320260501030003,久留米競輪,3R,21:45,1,1,100,0.0,-100.0,0,0,0.0,0.0
2620260501030004,西武園競輪,4R,22:01,1,1,200,0.0,-200.0,0,0,0.0,0.0
8320260501030004,久留米競輪,4R,22:09,1,0,200,0.0,-200.0,0,0,,
7520260501030005,松山競輪,5R,22:18,1,0,200,0.0,-200.0,0,0,,
