race_id,競輪場,レース番号,開始時間,best_bet,first,second,third,best_odds,best_p,max_EV,kelly_full,kelly_frac_capped,stake_raw,stake,expected_profit
2720260503010002,京王閣競輪,2R,16:37,3-6-7,3,6,7,4893.7,0.0067611696141465,32.08713574074915,0.006558165377143326,0.003279082688571663,163.95413442858313,200,6417.427148149829
7520260501030002,松山競輪,2R,21:05,1-7-6,1,7,6,3929.7,0.0084189022229829,32.08376006565625,0.00816650802190451,0.004083254010952255,204.16270054761276,200,6416.75201313125
8320260501030001,久留米競輪,1R,20:57,1-7-5,1,7,5,2956.4,0.0111703854693447,32.024127601570754,0.010835801448728007,0.005,250.0,200,6404.825520314151
3520260501030005,平塚競輪,5R,12:57,5-3-1,5,3,1,2654.8,0.0096042779302925,24.497437049340665,0.009231078848948927,0.0046155394244744635,230.77697122372317,200,4899.487409868133
8320260501030003,久留米競輪,3R,21:45,3-7-6,3,7,6,8158.7,0.0055470248767273,44.25651186175504,0.00542512127949729,0.002712560639748645,135.62803198743225,100,4425.651186175503
2720260503010003,京王閣競輪,3R,16:59,6-7-1,6,7,1,3034.6,0.0071298008627413,20.63609369807493,0.0068025097897135185,0.0034012548948567593,170.06274474283796,200,4127.218739614986
2720260503010006,京王閣競輪,6R,18:08,5-3-4,5,3,4,9106.6,0.0043505648550418,38.61885390892419,0.004241220118270535,0.0021206100591352676,106.03050295676339,100,3861.885390892419
2720260503010010,京王閣競輪,10R,19:48,4-7-6,4,7,6,2320.9,0.0077201359623971,16.91766355512747,0.007292410688015633,0.0036462053440078166,182.31026720039083,200,3383.532711025494
7520260501030003,松山競輪,3R,21:29,6-7-3,6,7,3,2276.3,0.0075628466074413,16.21530773251878,0.007126668014116284,0.003563334007058142,178.1667003529071,200,3243.0615465037563
5320260501030002,奈良競輪,2R,16:20,1-4-3,1,4,3,1176.2,0.0144183930021814,15.958913849165803,0.013579742894116578,0.005,250.0,200,3191.7827698331607
8320260501030004,久留米競輪,4R,22:09,6-7-2,6,7,2,2185.2,0.0075718315141477,15.54596622471568,0.007117464620783665,0.0035587323103918327,177.93661551959164,200,3109.193244943136
5320260501030003,奈良競輪,3R,16:44,5-6-3,5,6,3,2297.3,0.0071680578716721,15.46717934859254,0.0067356962716511514,0.0033678481358255757,168.39240679127877,200,3093.435869718508
5320260501030001,奈良競輪,1R,15:56,1-6-3,1,6,3,1530.0,0.0097140074008627,13.862431323320052,0.009066338340954907,0.004533169170477453,226.65845852387267,200,2772.4862646640104
2720260503010008,京王閣競輪,8R,18:56,2-6-7,2,6,7,6187.4,0.0044956850218401,26.81660150413381,0.004334766827902142,0.002167383413951071,108.36917069755356,100,2681.660150413381
8320260501030002,久留米競輪,2R,21:21,7-3-6,7,3,6,6578.2,0.0042051682656694,26.662437885226577,0.004053767239133153,0.0020268836195665766,101.34418097832884,100,2666.2437885226577
7520260501030005,松山競輪,5R,22:18,1-6-7,1,6,7,1438.6,0.0098251326683829,13.134435856735678,0.009136363283761603,0.004568181641880801,228.40908209404006,200,2626.8871713471353
2620260501030004,西武園競輪,4R,22:01,1-7-4,1,7,4,1384.4,0.0099977740398168,12.8409183807224,0.009282144268268323,0.004641072134134162,232.05360670670808,200,2568.18367614448
2720260503010004,京王閣競輪,4R,17:21,6-4-2,6,4,2,9558.1,0.0027219449567913,25.01662209150747,0.0026175955144873936,0.0013087977572436968,65.43988786218483,100,2501.662209150747
6320260501030003,防府競輪,3R,09:11,1-3-7,1,3,7,1764.3,0.007614232493746,12.433790388716204,0.007051432194587537,0.0035257160972937684,176.28580486468843,200,2486.758077743241
2620260501030001,西武園競輪,1R,20:49,1-6-3,1,6,3,825.8,0.0143893765940825,10.882747191393332,0.013194407361049142,0.005,250.0,200,2176.5494382786665
