race_id,sanrentan_result,payout_sanrentan_100
3720260402030001,3-7-2,1240
3720260402030002,5-8-4,123580
3720260402030003,2-4-7,2180
3720260402030004,9-3-6,25460
3720260402030005,5-3-1,8030
3720260402030006,1-9-8,21160
3720260402030007,1-3-2,11230
3720260402030008,9-1-7,5620
3720260402030009,1-4-6,1960
3720260402030010,9-1-3,770
3720260402030011,2-7-9,5760
3720260402030012,2-4-7,161620
4520260404010001,6-5-3,13230
4520260404010002,5-1-2,2050
6120260402030001,7-2-3,4620
6120260402030002,3-1-2,700
6120260402030003,5-2-7,26010
8420260402030001,3-4-2,6190
8420260402030002,1-4-2,5850
8420260402030003,1-5-3,12950
8420260402030004,2-7-1,4520
8420260402030005,7-4-2,34800
8420260402030006,2-3-1,660
8420260402030007,7-1-6,4180
