race_id,sanrentan_result,payout_sanrentan_100
2220260710020001,4-3-7,9040
2220260710020002,1-3-4,2650
2220260710020003,3-5-7,2530
2220260710020004,4-3-1,148140
2220260710020005,4-1-6,750
2220260710020006,7-1-3,11990
2220260710020007,2-5-1,10130
2220260710020008,1-2-8,12760
2220260710020009,5-9-3,9000
2220260710020010,1-9-3,147650
2220260710020011,1-7-6,18170
2220260710020012,7-1-5,3690
3620260710020001,4-1-5,8060
3620260710020002,2-1-3,8410
3620260710020003,4-2-5,7390
3620260710020004,1-7-2,1260
3620260710020005,4-1-2,940
3620260710020006,2-1-4,2540
3620260710020007,2-6-3,430
3720260710020001,4-6-3,9090
3720260710020002,3-4-6,3200
3720260710020003,3-6-2,1020
4320260711010001,1-5-7,760
4320260711010002,1-5-3,2780
4320260711010003,5-1-7,1990
4320260711010004,2-7-4,1750
4320260711010005,5-2-1,16820
4320260711010006,4-6-3,15220
4320260711010007,1-7-2,1700
4320260711010008,7-5-1,6580
4320260711010009,1-7-5,5600
4320260711010010,4-3-5,26240
4320260711010011,7-2-1,1220
4320260711010012,5-7-6,205780
7520260711010001,2-5-1,8900
7520260711010002,5-6-3,4470
