race_id,競輪場,レース番号,開始時間,best_bet,a,b,best_odds,best_p,max_EV
7420260310010004,高知競輪,4R,21:50,2-3,2,3,386.2,0.09812890913340305,36.897384707320256
1320260309020006,いわき平競輪,6R,17:54,3-7,3,7,507.7,0.0366498875180047,17.607147892890985
1320260309020007,いわき平競輪,7R,18:20,4-5,4,5,446.2,0.038082451508143184,15.99238986293349
7320260310010006,小松島競輪,6R,13:09,3-5,3,5,586.9,0.024727406685323475,13.512514983616347
7320260310010010,小松島競輪,10R,15:01,6-7,6,7,228.2,0.05931830577580845,12.536437378039487
3820260310010004,静岡競輪,4R,17:15,1-2,1,2,191.4,0.06997823164009191,12.393833535913592
7320260310010007,小松島競輪,7R,13:36,4-5,4,5,343.3,0.03859807270790731,12.250718360624582
3820260310010006,静岡競輪,6R,18:07,2-4,2,4,567.0,0.021092518855570744,10.959458191108611
7320260310010008,小松島競輪,8R,14:03,3-7,3,7,143.5,0.08221495007031092,10.797845335089617
4520260310010008,豊橋競輪,8R,23:00,1-6,1,6,125.2,0.08425056099017104,9.548170235969415
3820260310010003,静岡競輪,3R,16:51,4-6,4,6,290.1,0.035828018582361294,9.393708190743013
4520260310010001,豊橋競輪,1R,20:40,1-7,1,7,204.7,0.048811882581455496,8.99179236442394
3620260308030004,小田原競輪,4R,12:25,4-6,4,6,274.3,0.03581605257863593,8.824343222319836
7320260310010011,小松島競輪,11R,15:33,6-7,6,7,353.0,0.02750314126147926,8.708608865302178
3820260310010005,静岡競輪,5R,17:41,1-2,1,2,187.1,0.048815498864684476,8.133379837582465
8420260309020005,武雄競輪,5R,10:13,1-6,1,6,293.8,0.030557198119798543,7.977704807596812
3820260310010010,静岡競輪,10R,19:51,4-5,4,5,136.5,0.0653838447856547,7.924894813241867
8420260309020004,武雄競輪,4R,09:52,5-6,5,6,138.4,0.05679383893191761,6.860267308177398
8420260309020007,武雄競輪,7R,10:55,5-6,5,6,206.4,0.037771680618252236,6.796074879607262
3820260310010007,静岡競輪,7R,18:33,1-6,1,6,108.7,0.06365121309286598,5.9188868631945315
7320260310010009,小松島競輪,9R,14:31,3-6,3,6,99.2,0.069268333856413,5.8714187185561695
3820260310010002,静岡競輪,2R,16:27,3-6,3,6,74.5,0.08630679931338459,5.429856548847152
3620260308030012,小田原競輪,12R,16:21,2-6,2,6,179.1,0.035761956140676635,5.404966344795185
7320260310010002,小松島競輪,2R,11:29,5-6,5,6,183.7,0.03363622346195291,5.17897424996075
7320260310010004,小松島競輪,4R,12:17,4-6,4,6,178.1,0.03420861185497719,5.0925537713714375
8420260309020001,武雄競輪,1R,08:50,1-2,1,2,85.1,0.07133025370210036,5.07020459004874
4520260310010002,豊橋競輪,2R,21:00,1-7,1,7,130.5,0.04641280570416281,5.056871144393247
3820260310010001,静岡競輪,1R,16:03,1-3,1,3,119.7,0.05030862751791563,5.021942713894501
7320260310010001,小松島競輪,1R,11:05,5-6,5,6,241.7,0.024314654844532158,4.876852075923423
3820260310010009,静岡競輪,9R,19:25,4-6,4,6,65.7,0.08820916742797417,4.795342300017904
1320260309020002,いわき平競輪,2R,16:15,1-6,1,6,55.5,0.10409307270214307,4.77716553496894
3620260308030007,小田原競輪,7R,13:45,6-7,6,7,88.7,0.06245337536960636,4.539614395284084
7420260310010001,高知競輪,1R,20:50,3-6,3,6,111.7,0.047108969792140985,4.262071925782148
1320260309020004,いわき平競輪,4R,17:03,2-5,2,5,91.3,0.057074089157155394,4.210864340048287
3620260308030003,小田原競輪,3R,12:01,4-6,4,6,196.3,0.025979770923652327,4.099829032312952
8420260309020002,武雄競輪,2R,09:10,3-6,3,6,150.6,0.03311489574274507,3.9871032988574076
3620260308030001,小田原競輪,1R,11:13,6-7,6,7,178.8,0.027618060468680816,3.93810921180013
3620260308030006,小田原競輪,6R,13:18,4-6,4,6,132.9,0.035811264233171755,3.7593170165885264
1320260309020003,いわき平競輪,3R,16:39,2-7,2,7,125.7,0.03781746941564025,3.7536559055459797
3620260308030009,小田原競輪,9R,14:41,5-6,5,6,80.6,0.05383003818763764,3.3387010779235933
7320260310010005,小松島競輪,5R,12:42,1-3,1,3,84.0,0.0503002200920775,3.2252184877345096
3620260308030010,小田原競輪,10R,15:11,1-6,1,6,96.8,0.0427143582751571,3.134749881035207
8420260309020006,武雄競輪,6R,10:34,5-6,5,6,94.7,0.042067227510770744,2.9837664452699895
3620260308030011,小田原競輪,11R,15:45,3-5,3,5,57.4,0.06851703162986347,2.932877615554163
1320260309020010,いわき平競輪,10R,19:38,1-6,1,6,235.5,0.015143648012950072,2.566329107049742
3620260308030005,小田原競輪,5R,12:51,3-7,3,7,55.6,0.06355340167175443,2.533569132949546
4520260310010007,豊橋競輪,7R,22:40,1-4,1,4,30.0,0.1163709400371562,2.491128201114686
3820260310010008,静岡競輪,8R,18:59,1-6,1,6,49.1,0.06967820555401744,2.421199892702256
3620260308030008,小田原競輪,8R,14:12,5-6,5,6,87.6,0.03807720632208636,2.3355632738147647
7420260310010009,高知競輪,9R,23:30,5-6,5,6,73.5,0.045311287386989106,2.3303796229436995
1320260309020009,いわき平競輪,9R,19:12,2-6,2,6,106.8,0.030253367450091228,2.231059643669743
1320260309020001,いわき平競輪,1R,15:51,1-4,1,4,66.1,0.048099703815278824,2.17939042218993
