race_id,sanrentan_result,payout_sanrentan_100
2220260320030001,3-5-1,1120
2220260320030002,6-5-4,2780
2220260320030003,1-7-4,7970
2820260322010001,1-4-2,31850
2820260322010002,1-4-5,550
2820260322010003,7-3-4,6070
2820260322010004,4-7-2,210
2820260322010005,3-7-2,150
2820260322010006,2-7-4,230
2820260322010007,1-2-5,66620
4320260322010001,4-2-5,2750
4320260322010002,1-5-7,22690
6320260319040001,3-7-9,5280
6320260319040002,4-9-7,2280
6320260319040003,7-9-5,6560
6320260319040004,6-3-9,15340
6320260319040005,3-7-9,17550
6320260319040006,2-7-1,10970
6320260319040007,4-7-1,6550
6320260319040008,9-5-1,16910
6320260319040009,2-3-1,10820
6320260319040010,6-5-8,51740
6320260319040011,4-1-7,8990
6320260319040012,9-7-1,53150
8720260320030001,1-4-5,2170
8720260320030002,4-2-5,860
8720260320030003,4-5-7,2090
8720260320030004,1-5-4,620
8720260320030005,3-4-6,6050
8720260320030006,6-1-4,39140
8720260320030007,3-4-1,2090
8720260320030008,6-2-5,54280
8720260320030009,2-4-6,590
8720260320030010,7-2-5,410
8720260320030011,1-2-7,15030
8720260320030012,6-3-5,1280
