race_id,sanrentan_result,payout_sanrentan_100
2320260319010001,4-1-2,910
2320260319010002,1-7-2,2050
2320260319010003,7-5-1,10240
2320260319010004,3-1-7,510
2320260319010005,1-4-5,170
2320260319010006,2-5-7,140
2320260319010007,5-3-6,250
2420260317030001,1-6-4,450
2420260317030002,2-5-4,580
2420260317030003,6-3-4,3870
2420260317030004,7-3-1,5340
2420260317030005,6-1-7,183730
2420260317030006,1-5-4,1000
2420260317030007,2-6-7,5800
2420260317030008,2-4-3,3230
2420260317030009,4-1-3,2670
2420260317030010,7-1-5,5030
2420260317030011,5-2-6,2980
4220260317030001,1-5-7,14780
4220260317030002,6-4-2,8840
4220260317030003,1-3-5,11500
5520260317030001,4-5-1,5870
5520260317030002,5-1-6,5680
5520260317030003,6-1-2,11750
5520260317030004,2-7-6,4590
5520260317030005,1-4-7,18970
5520260317030006,2-7-4,490
5520260317030007,5-2-4,9920
6320260319010001,7-1-4,2210
6320260319010002,3-9-8,13640
6320260319010003,7-8-1,19750
6320260319010004,9-2-7,3880
6320260319010005,3-8-7,15650
6320260319010006,1-9-7,8070
6320260319010007,7-9-2,171610
6320260319010008,1-5-9,4450
6320260319010009,2-1-7,12630
6320260319010010,2-3-5,9270
6320260319010011,3-4-1,7050
6320260319010012,3-1-7,9350
8120260319010001,1-2-7,2100
8120260319010002,2-4-5,990
