race_id,sanrentan_result,payout_sanrentan_100
1220260730010001,3-4-5,570
1220260730010002,3-5-4,17940
1220260730010003,2-4-5,530
1220260730010004,1-3-6,6030
1220260730010005,5-1-3,140
1220260730010006,3-7-4,10360
1220260730010007,4-7-3,680
2120260730010001,7-5-1,2480
2120260730010002,1-4-5,1220
2120260730010003,2-5-6,9840
3520260728030001,1-6-4,38480
3520260728030002,3-7-6,1670
4320260730010001,5-3-7,1170
4320260730010002,3-7-1,710
4320260730010003,1-6-5,114640
4320260730010004,3-5-1,530
4320260730010005,4-5-3,3740
4320260730010006,7-3-4,241310
4320260730010007,5-4-1,42140
4320260730010008,1-4-7,1150
4320260730010009,5-2-3,230
4320260730010010,7-1-4,430
4320260730010011,1-5-3,1950
5520260729020001,1-4-5,3050
5520260729020002,2-3-5,7930
5520260729020003,3-5-2,1260
5520260729020004,7-4-1,7360
5520260729020005,7-1-5,2340
5520260729020006,5-3-4,2220
5520260729020007,5-1-2,9330
5520260729020008,6-1-7,102830
5520260729020009,5-2-3,45440
5520260729020010,1-4-2,45870
5520260729020011,5-1-6,20990
5520260729020012,1-5-2,1370
