race_id,競輪場,レース番号,開始時間,best_bet,first,second,third,best_odds,best_p,max_EV,kelly_full,kelly_frac_capped,stake_raw,stake,expected_profit
2220260526020001,前橋競輪,1R,15:59,5-6-2,5,6,2,5942.7,0.0073403021692529,42.62121370121943,0.007173235555685988,0.003586617777842994,179.3308888921497,200,8524.242740243886
2120260527010003,弥彦競輪,3R,11:37,2-6-5,2,6,5,4374.3,0.0093188693513535,39.76353020362594,0.009092339927200498,0.004546169963600249,227.30849818001246,200,7952.706040725188
2220260526020002,前橋競輪,2R,16:22,1-6-4,1,6,4,4670.5,0.0065532881442682,29.607132277804727,0.006340535877032814,0.003170267938516407,158.51339692582036,200,5921.426455560945
4420260525030009,大垣競輪,9R,14:39,1-3-6,1,3,6,3394.9,0.00778567035217,25.43157227858196,0.007493318093810059,0.0037466590469050296,187.33295234525147,200,5086.314455716392
2120260527010010,弥彦競輪,10R,14:53,1-6-7,1,6,7,2153.7,0.0088356695198291,18.029381444856,0.008375241066965208,0.004187620533482604,209.3810266741302,200,3605.8762889711998
2220260526020004,前橋競輪,4R,17:12,7-2-6,7,2,6,7183.4,0.0050552835770292,35.31412404723224,0.0049167581932546564,0.0024583790966273282,122.9189548313664,100,3531.412404723224
2120260527010008,弥彦競輪,8R,13:57,2-6-7,2,6,7,1821.6,0.0101720475958169,17.529401900540147,0.00962836531942225,0.004814182659711125,240.70913298555627,200,3505.8803801080294
4420260525030012,大垣競輪,12R,16:15,1-4-5,1,4,5,2370.7,0.0077303287982996,17.326290482128968,0.007311596608063877,0.0036557983040319385,182.78991520159693,200,3465.2580964257936
4420260525030005,大垣競輪,5R,12:47,1-6-5,1,6,5,2316.9,0.0070070999626788,15.234749903530592,0.0065783280381409345,0.0032891640190704672,164.45820095352337,200,3046.9499807061184
2120260527010007,弥彦競輪,7R,13:29,3-6-7,3,6,7,2248.9,0.0067512486872281,14.182883172707331,0.006309392398553019,0.0031546961992765096,157.73480996382548,200,2836.5766345414663
2120260527010004,弥彦競輪,4R,12:05,3-6-4,3,6,4,7331.9,0.003991597001224,28.265990053274717,0.0038557325912609254,0.0019278662956304627,96.39331478152313,100,2826.599005327472
2220260526020003,前橋競輪,3R,16:46,1-6-2,1,6,2,1653.3,0.0085753034679749,13.177549223602943,0.00797527641687523,0.003987638208437615,199.38191042188075,200,2635.5098447205887
2220260526020009,前橋競輪,9R,19:22,6-4-2,6,4,2,5330.2,0.004776578929983,24.4601210125958,0.004589829807962883,0.0022949149039814417,114.74574519907209,100,2446.01210125958
4420260525030007,大垣競輪,7R,13:43,1-6-2,1,6,2,1763.3,0.0071576375590935,11.621062307949645,0.0065942588140212475,0.0032971294070106238,164.8564703505312,200,2324.212461589929
7520260526020007,松山競輪,7R,10:35,3-6-2,3,6,2,5656.0,0.0041103580128636,22.24818492075701,0.003934250207030417,0.0019671251035152087,98.35625517576044,100,2224.8184920757008
8620260525030011,別府競輪,11R,20:02,7-5-6,7,5,6,1390.7,0.0086947438674412,11.091780296450484,0.007981420663776703,0.003990710331888352,199.53551659441757,200,2218.3560592900967
2120260527010009,弥彦競輪,9R,14:25,1-6-5,1,6,5,1538.6,0.0076083792469936,10.706252309424457,0.006962963260551807,0.0034814816302759033,174.07408151379516,200,2141.2504618848916
8620260525030003,別府競輪,3R,16:33,5-6-2,5,6,2,5229.8,0.0041850845814661,20.887155344151576,0.003994636502476969,0.0019973182512384845,99.86591256192423,100,2088.7155344151574
2220260526020010,前橋競輪,10R,19:48,5-6-7,5,6,7,5961.7,0.0036085460024502,20.513068702807484,0.0034413858611920555,0.0017206929305960278,86.03464652980139,100,2051.306870280748
4420260525030008,大垣競輪,8R,14:11,6-3-1,6,3,1,3598.9,0.0053200355604103,18.146275978360865,0.005043574301220396,0.002521787150610198,126.0893575305099,100,1814.6275978360866
